Mark,Competitor,Nat,Location,Discipline,Date,Results Score
3:34.27,OLIVER HOARE,AUS,"Hayward Field, Eugene, OR (USA)",1500m,25 MAY 2024,1185
3:34.28,MARIO GARCÍA,ESP,"Hayward Field, Eugene, OR (USA)",1500m,25 MAY 2024,1185
3:34.31,JAKE WIGHTMAN,GBR,"The Crest Athletics Centre, Bankstown, Sydney (AUS)",1500m,22 FEB 2024,1184
3:34.31,CATHAL DOYLE,IRL,"Parc des Sports C. Ehrmann, Nice (FRA)",1500m,15 JUN 2024,1184
3:34.31,BENOIT CAMPION,FRA,"Parc des Sports C. Ehrmann, Nice (FRA)",1500m,15 JUN 2024,1184
3:34.32,LUKE MCCANN,IRL,"Mestský Stadion, Ostrava (CZE)",1500m,28 MAY 2024,1184
3:34.32,LUKE MCCANN,IRL,"Paavo Nurmen Stadion, Turku (FIN)",1500m,18 JUN 2024,1184
3:34.32,STEFAN NILLESSEN,NED,"Paavo Nurmen Stadion, Turku (FIN)",1500m,18 JUN 2024,1184
3:34.33,ROMAIN MORNET,FRA,"Stadio Olimpico, Roma (ITA)",1500m,12 JUN 2024,1184
3:34.35,FEDERICO RIVA,ITA,"Estadio Iberoamericano, Huelva (ESP)",1500m,30 APR 2024,1184
3:34.37,ADAM FOGG,GBR,"Armory Track&Field Center, New York, NY (USA) (i)",1500m,11 FEB 2024,1237
3:34.39,AZEDDINE HABZ,FRA,"Arena Stade Couvert, Liévin (FRA) (i)",1500m,10 FEB 2024,1236
3:34.40,HENRY WYNNE,USA,"Hayward Field, Eugene, OR (USA)",1500m,22 JUN 2024,1183
3:34.41,KIERAN LUMB,CAN,"Suhaim bin Hamad Stadium, Doha (QAT)",1500m,10 MAY 2024,1183
3:34.41,HOBBS KESSLER,USA,"Icahn Stadium, New York, NY (USA)",1500m,09 JUN 2024,1183
3:34.42,JYE EDWARDS,AUS,"The Crest Athletics Centre, Bankstown, Sydney (AUS)",1500m,22 FEB 2024,1183
3:34.42,ISAAC NADER,POR,"Stade Louis II, Monaco (MON)",1500m,12 JUL 2024,1183
3:34.44,VINCENT KIBET KETER,KEN,"Arena Stade Couvert, Liévin (FRA) (i)",1500m,10 FEB 2024,1236
3:34.44,ADAM FOGG,GBR,"Stadio Olimpico, Roma (ITA)",1500m,12 JUN 2024,1182
3:34.44,ANASS ESSAYI,MAR,"Altamira estadioa, Ordizia (ESP)",1500m,22 JUN 2024,1182
3:34.46,MAËL GOUYETTE,FRA,"Stade Delort, Marseille (FRA)",1500m,22 MAY 2024,1182
3:34.47,GEORDIE BEAMISH,NZL,"Hayward Field, Eugene, OR (USA)",1500m,25 MAY 2024,1182
3:34.49,NATHAN GREEN,USA,"Hayward Field, Eugene, OR (USA)",1500m,22 JUN 2024,1182
3:34.50,CHARLES PHILIBERT-THIBOUTOT,CAN,"Mestský Stadion, Ostrava (CZE)",1500m,28 MAY 2024,1181
3:34.51,ROBERT FARKEN,GER,"Hartwig-Gauder-Halle, Erfurt (GER) (i)",1500m,02 FEB 2024,1235
3:34.51,SAMUEL PIHLSTRÖM,SWE,"Olympiastadion, Stockholm (SWE)",1500m,02 JUN 2024,1181
3:34.52,HAFID RIZQY,MAR,"Le Grand Stade, Marrakech (MAR)",1500m,19 MAY 2024,1181
3:34.52,ELLIOTT COOK,USA,"Hayward Field, Eugene, OR (USA)",1500m,22 JUN 2024,1181
3:34.53,KIERAN LUMB,CAN,"Swangard Stadium, Burnaby (CAN)",1500m,15 JUN 2024,1181
3:34.53,FLAVIEN SZOT,FRA,"Stade de Stehelin, Bordeaux (FRA)",1500m,19 JUN 2024,1181
3:34.54,MARIUS PROBST,GER,"Paavo Nurmen Stadion, Turku (FIN)",1500m,18 JUN 2024,1181
3:34.54,COLE HOCKER,USA,"Hayward Field, Eugene, OR (USA)",1500m,21 JUN 2024,1181
3:34.55,CAMERON MYERS,AUS,"SA Athletic Stadium, Adelaide (AUS)",1500m,10 FEB 2024,1181
3:34.56,NICO YOUNG,USA,"Jack Kemp Stadium, Los Angeles, CA (USA)",1500m,04 MAY 2024,1181
3:34.58,JIMMY GRESSIER,FRA,"Stade Raymond Troussier, Decines (FRA)",1500m,04 MAY 2024,1180
3:34.59,JAVIER MIRON,ESP,"Polideportivo Zorrotza, Bilbao (ESP)",1500m,18 JUN 2024,1180
3:34.61,SAMUEL TEFERA,ETH,"Arena, Toruń (POL) (i)",1500m,06 FEB 2024,1233
3:34.62,VINCENT CIATTEI,USA,"Icahn Stadium, New York, NY (USA)",1500m,09 JUN 2024,1180
3:34.63,VINCENT CIATTEI,USA,"Hayward Field, Eugene, OR (USA)",1500m,22 JUN 2024,1180
3:34.64,COLIN SAHLMAN,USA,"Jack Kemp Stadium, Los Angeles, CA (USA)",1500m,04 MAY 2024,1180
