Mark,Competitor,Nat,Location,Discipline,Date,Results Score
3:39.90,BALDVIN MAGNUSSON,ISL,"Tooting Bec Athletics Track, London (GBR)",1500m,24 JUL 2024,1108
3:39.91,CONNOR WHITELEY,AUS,"TSV Stadion, Pfungstadt (GER)",1500m,25 MAY 2024,1108
3:39.91,JACK GUMM,GBR,"Centre sportif Bout-du-Monde, Genève (SUI)",1500m,22 JUN 2024,1108
3:39.92,COLIN SAHLMAN,USA,"Hayward Field, Eugene, OR (USA)",1500m,07 JUN 2024,1108
3:39.92,JACK SALISBURY,USA,"Hayward Field, Eugene, OR (USA)",1500m,21 JUN 2024,1108
3:39.92,ARCHIE DAVIS,GBR,"Manchester Regional Arena, Manchester (GBR)",1500m,30 JUN 2024,1108
3:39.93,ETSON BARROS,POR,"Estadio Universitario, Lisboa (POR)",1500m,18 MAY 2024,1107
3:39.93,OWEN KARAS,USA,"Dean A. Hayes Track and Soccer Stadium, Murfreesboro, TN (USA)",1500m,01 JUN 2024,1107
3:39.93,ETHAN STRAND,USA,"Hayward Field, Eugene, OR (USA)",1500m,05 JUN 2024,1107
3:39.95,JOHN GREGOREK,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",1500m,09 FEB 2024,1158
3:39.95,JOB IJTSMA,NED,"Omnisport, Apeldoorn (NED) (i)",1500m,18 FEB 2024,1158
3:39.95,JONATHAN DAVIS,USA,"Demirjian Park, Champaign, IL (USA)",1500m,04 MAY 2024,1107
3:39.95,SERGEY DUBROVSKIY,RUS,"Olympic Stadium, Cheboksary (RUS)",1500m,09 JUL 2024,1107
3:39.96,TIMO BENITZ,GER,"Carl-Kaufmann-Stadion, Karlsruhe (GER)",1500m,11 MAY 2024,1107
3:39.96,CHARLES CHEBOI SIMOTWO,KEN,"Stade des Grands Pêchers, Montreuil (FRA)",1500m,16 MAY 2024,1107
3:39.96,NAO KURIHARA,JPN,"Denka Big Swan Stadium, Niigata (JPN)",1500m,28 JUN 2024,1107
3:39.96,SEAN DONOGHUE,IRL,"Morton Stadium, Dublin (IRL)",1500m,12 JUL 2024,1107
3:39.96,MASANORI ANBAI,JPN,"Athletics Stadium, Setagaya, Tokyo (JPN)",1500m,27 JUL 2024,1107
3:39.97,RÚBEN AMARAL,POR,"Polideportivo Municipal, Andújar (ESP)",1500m,17 MAY 2024,1107
3:39.97,ISTVÁN SZÖGI,HUN,"Atletiekbaan Brakkenstein, Nijmegen (NED)",1500m,18 MAY 2024,1107
3:39.97,NATHAN GREEN,USA,"John McDonnell Field, Fayetteville, AR (USA)",1500m,22 MAY 2024,1107
3:39.97,KASEY KNEVELBAARD,USA,"Morton Stadium, Dublin (IRL)",1500m,12 JUL 2024,1107
3:39.97,NICOLAE MARIAN COMAN,ROU,"AtletiekArena Gaston Roelants Kessel-Lo / Hal 5, Leuven (BEL)",1500m,27 JUL 2024,1107
3:39.98,ELZAN BIBIĆ,SRB,"Glasgow Arena, Glasgow (GBR) (i)",1500m,01 MAR 2024,1157
3:39.98,MOHAMED AMIN JHINAOUI,TUN,"Arena Civica Gianni Brera, Milano (ITA)",1500m,27 APR 2024,1107
3:39.98,THOMAS KEEN,GBR,"Manchester Regional Arena, Manchester (GBR)",1500m,30 JUN 2024,1107
3:39.98,AUSTEN DALQUIST,USA,"Jack Kemp Stadium, Los Angeles, CA (USA)",1500m,20 JUL 2024,1107
3:39.99,CAMERON PROCEVIAT,CAN,"Cougar Athletic Stadium, Azusa, CA (USA)",1500m,13 APR 2024,1107
3:39.99,CHARLIE O'DONOVAN,IRL,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",1500m,24 MAY 2024,1107
3:40.00,BINIAM MEHARY,ETH,"Glasgow Arena, Glasgow (GBR) (i)",1500m,03 MAR 2024,1157
3:40.00,JAN FRIŠ,CZE,"Carl-Kaufmann-Stadion, Karlsruhe (GER)",1500m,11 MAY 2024,1106
3:40.01,BENOIT CAMPION,FRA,"The Track at New Balance, Boston, MA (USA) (i)",1500m,04 FEB 2024,1157
3:40.01,ZAKARIA AL ALHLAMI,QAT,"Aspire Academy Warm Up Track, Doha (QAT)",1500m,15 MAY 2024,1106
3:40.02,FOSTER MALLECK,CAN,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",1500m,09 FEB 2024,1157
3:40.02,MARC TORTELL,GER,"Bungertstadion, Rehlingen (GER)",1500m,19 MAY 2024,1106
3:40.02,THOMAS KEEN,GBR,"Parc des Sports C. Ehrmann, Nice (FRA)",1500m,15 JUN 2024,1106
3:40.02,SALIM KEDDAR,ALG,"Stade d'Athletisme Pierre Voillequin, Troyes (FRA)",1500m,16 JUN 2024,1106
3:40.02,WEGENE ADDISU,ETH,"Estadio Vallehermoso, Madrid (ESP)",1500m,21 JUN 2024,1106
3:40.04,SAMUEL PRAKEL,USA,"Convention Center, Albuquerque, NM (USA) (i)",1500m,17 FEB 2024,1156
3:40.04,VINCENT KIBET KETER,KEN,"Glasgow Arena, Glasgow (GBR) (i)",1500m,03 MAR 2024,1156
3:40.04,ADAM SPENCER,AUS,"John McDonnell Field, Fayetteville, AR (USA)",1500m,24 MAY 2024,1106
3:40.04,NATHAN GREEN,USA,"John McDonnell Field, Fayetteville, AR (USA)",1500m,24 MAY 2024,1106
3:40.04,ANAS LAGTIY CHAOUDAR,FRA,"AtletiekArena Gaston Roelants Kessel-Lo / Hal 5, Leuven (BEL)",1500m,27 JUL 2024,1106
3:40.05,BRUCE-LYNN DAMONS,RSA,"University of the Western Cape, Cape Town (RSA)",1500m,29 APR 2024,1106
3:40.06,CASEY COMBER,USA,"Convention Center, Albuquerque, NM (USA) (i)",1500m,17 FEB 2024,1156
3:40.07,DAMIEN DILCHER,USA,"Hayward Field, Eugene, OR (USA)",1500m,05 JUN 2024,1106
3:40.07,ALI MESSAOUDI,ALG,"Stade Léo Lagrange, Tergnier (FRA)",1500m,08 JUN 2024,1106
3:40.08,DANIEL SCHAFFER,USA,"Jack Kemp Stadium, Los Angeles, CA (USA)",1500m,11 MAY 2024,1105
3:40.08,ANDREW MCGILL,GBR,"Tooting Bec Athletics Track, London (GBR)",1500m,24 JUL 2024,1105
3:40.09,CONNOR WHITELEY,AUS,"AIS Athletics Track, Canberra (AUS)",1500m,02 MAR 2024,1105
3:40.09,JUSTIN KIPKOECH,KEN,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",1500m,16 MAR 2024,1105
3:40.09,EZEKIEL ROP,KEN,"Cobb Track and Angell Field, Palo Alto, CA (USA)",1500m,29 MAR 2024,1105
3:40.09,ALEXIS MIELLET,FRA,"Stade Jacques Forestier, Aix-les-Bains (FRA)",1500m,12 MAY 2024,1105
3:40.09,COLIN SAHLMAN,USA,"John McDonnell Field, Fayetteville, AR (USA)",1500m,24 MAY 2024,1105
3:40.10,YUDAI NOGUCHI,JPN,"Yanmar Stadium Nagai, Osaka (JPN)",1500m,12 MAY 2024,1105
3:40.10,PARVEJ KHAN,IND,"Hayward Field, Eugene, OR (USA)",1500m,05 JUN 2024,1105
3:40.10,MOHAMED REDA,ESP,"Sportcentrum Wembley, Kortrijk (BEL)",1500m,13 JUL 2024,1105
3:40.11,ISAAC BASTEN,USA,"Cougar Athletic Stadium, Azusa, CA (USA)",1500m,13 APR 2024,1105
3:40.11,RICK VAN RIEL,NED,"Bislett Stadion, Oslo (NOR)",1500m,30 MAY 2024,1105
3:40.11,BRANDON MILLER,USA,"Lincoln HS, Portland, OR (USA)",1500m,09 JUN 2024,1105
3:40.12,MEHMET ÇELİK,TUR,"Velódromo Luis Puig, Valencia (ESP) (i)",1500m,07 FEB 2024,1155
3:40.12,BENOIT CAMPION,FRA,"Stadium Miramas Métropole, Miramas (FRA) (i)",1500m,18 FEB 2024,1155
3:40.12,BRANNON KIDDER,USA,"Griswold Stadium, Portland, OR (USA)",1500m,04 MAY 2024,1105
3:40.12,BENJAMIN REYNOLDS,GBR,"Bracknell Leisure Centre, Bracknell (GBR)",1500m,19 JUN 2024,1105
3:40.13,MACIEJ WYDERKA,POL,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",1500m,20 JUN 2024,1105
3:40.15,SILAS ZURFLUH,SUI,"Carl-Kaufmann-Stadion, Karlsruhe (GER)",1500m,11 MAY 2024,1104
3:40.15,ARCHIE DAVIS,GBR,"Stade d'Athletisme Pierre Voillequin, Troyes (FRA)",1500m,16 JUN 2024,1104
3:40.15,CHRISTOFFER FROST JOHANSEN,DEN,"Sportcentrum Wembley, Kortrijk (BEL)",1500m,13 JUL 2024,1104
3:40.16,PAUL RYAN,USA,"Cougar Athletic Stadium, Azusa, CA (USA)",1500m,13 APR 2024,1104
3:40.17,BAPTISTE MISCHLER,FRA,"Stadium Miramas Métropole, Miramas (FRA) (i)",1500m,18 FEB 2024,1154
3:40.17,AIDAN RYAN,USA,"Kentner Stadium Wake Forest University, Winston Salem, NC (USA)",1500m,19 APR 2024,1104
3:40.17,BAPTISTE GUYON,FRA,"Stade Du Moulin Boisseau, Carquefou (FRA)",1500m,17 MAY 2024,1104
3:40.17,ANDREAS LINDGREEN,DEN,"Sollentunavallen, Sollentuna (SWE)",1500m,16 JUN 2024,1104
3:40.18,MARIUS PROBST,GER,"Helmut-Körnig-Halle, Dortmund (GER) (i)",1500m,20 JAN 2024,1154
3:40.18,CHARLES PHILIBERT-THIBOUTOT,CAN,"Glasgow Arena, Glasgow (GBR) (i)",1500m,01 MAR 2024,1154
3:40.18,NATHAN GREEN,USA,"Cobb Track and Angell Field, Palo Alto, CA (USA)",1500m,29 MAR 2024,1104
3:40.18,HARRISON WITT,USA,"Weaver Stadium, Princeton, NJ (USA)",1500m,12 APR 2024,1104
3:40.18,CAMDEN GILMORE,USA,"Cougar Athletic Stadium, Azusa, CA (USA)",1500m,13 APR 2024,1104
3:40.18,ALEX KIPIRECH KIPCHIRCHIR,KEN,"Prefectural Stadium, Kumagaya (JPN)",1500m,18 MAY 2024,1104
3:40.18,MOSTAFA SMAILI,MAR,"Altamira estadioa, Ordizia (ESP)",1500m,22 JUN 2024,1104
3:40.19,DAVIS BOVE,USA,"Jack Kemp Stadium, Los Angeles, CA (USA)",1500m,04 MAY 2024,1104
3:40.20,SHANE STREICH,USA,"Paul Derr TF Facility, Raleigh, NC (USA)",1500m,28 MAR 2024,1104
3:40.2h,ABEL KIPSANG,KEN,"Ulinzi Sports Complex, Langata, Nairobi (KEN)",1500m,02 MAY 2024,1104
3:40.20,ALI IDOW HASSAN,SOM,"Dubai Police Club Stadium, Dubai (UAE)",1500m,03 MAY 2024,1104
3:40.20,FLAVIEN SZOT,FRA,"Stade Raymond Petit, Tomblaine (FRA)",1500m,25 MAY 2024,1104
3:40.20,STANISLAV UGRIN,RUS,"Olympic Stadium, Cheboksary (RUS)",1500m,09 JUL 2024,1104
3:40.21,ADAM SPENCER,AUS,"SA Athletic Stadium, Adelaide (AUS)",1500m,11 APR 2024,1104
3:40.21,JOCHEM VERMEULEN,BEL,"Stadio Olimpico, Roma (ITA)",1500m,10 JUN 2024,1104
3:40.21,OMAR SERAICH,ALG,"Sollentunavallen, Sollentuna (SWE)",1500m,16 JUN 2024,1104
3:40.21,MIGUEL MOREIRA,POR,"Kimpisen yleisurheilukenttä, Lappeenranta (FIN)",1500m,17 JUL 2024,1104
3:40.22,JAMES HANSEN,AUS,"AIS Athletics Track, Canberra (AUS)",1500m,02 MAR 2024,1104
3:40.22,OWEN KARAS,USA,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",1500m,24 MAY 2024,1104
3:40.23,VINCENT CIATTEI,USA,"Armory Track&Field Center, New York, NY (USA) (i)",1500m,27 JAN 2024,1154
3:40.23,EZEKIEL ROP,KEN,"Clyde Hart Track & Field Stadium, Waco, TX (USA)",1500m,09 MAY 2024,1103
3:40.23,YAHYA AOUINA EL KARBOUBI,ESP,"Pistes d'atletisme Gaetà Huguet, Castellón (ESP)",1500m,22 MAY 2024,1103
3:40.23,TIMOTHY CHERUIYOT,KEN,"Nyayo National Stadium, Nairobi (KEN)",1500m,22 MAY 2024,1103
3:40.23,MASON FERLIC,USA,"Icahn Stadium, New York, NY (USA)",1500m,09 JUN 2024,1103
3:40.24,MASATO SAIKI,JPN,"Egao Kenko Stadium, Kumamoto (JPN)",1500m,13 APR 2024,1103
3:40.24,DAMIEN DILCHER,USA,"Hayward Field, Eugene, OR (USA)",1500m,07 JUN 2024,1103
3:40.24,JENS MERGENTHALER,GER,"Stade d'Athlétisme Hautepierre, Strasbourg (FRA)",1500m,08 JUN 2024,1103
3:40.24,CLEMENT TOUATI,FRA,"Sportcentrum Wembley, Kortrijk (BEL)",1500m,13 JUL 2024,1103
3:40.25,KEVIN KAMENSCHAK,AUT,"Carl-Kaufmann-Stadion, Karlsruhe (GER)",1500m,11 MAY 2024,1103
3:40.25,TOM ELMER,SUI,"Stade Raymond Petit, Tomblaine (FRA)",1500m,25 MAY 2024,1103
3:40.25,MASRESHA COSTA,ITA,"Stade Naimette-Xhovémont, Liège (BEL)",1500m,19 JUN 2024,1103
3:40.25,HENRY MCLUCKIE,GBR,"Munster Technological University Track, Cork (IRL)",1500m,09 JUL 2024,1103
3:40.25,BEN VEATCH,USA,"Jack Kemp Stadium, Los Angeles, CA (USA)",1500m,20 JUL 2024,1103
3:40.27,KAMAR ETIANG,KEN,"Nyayo National Stadium, Nairobi (KEN)",1500m,06 MAR 2024,1103
3:40.27,JAMES DONAHUE,USA,"Paul Derr TF Facility, Raleigh, NC (USA)",1500m,28 MAR 2024,1103
3:40.27,RICK VAN RIEL,NED,"Carl-Kaufmann-Stadion, Karlsruhe (GER)",1500m,11 MAY 2024,1103
3:40.28,SHANE BRACKEN,IRL,"Paul Derr TF Facility, Raleigh, NC (USA)",1500m,28 MAR 2024,1103
3:40.29,CAMERON PROCEVIAT,CAN,"Alumni Stadium, Guelph (CAN)",1500m,04 JUN 2024,1103
3:40.30,SAMUEL CHARIG,GBR,"Boudewijnstadion, Bruxelles (BEL)",1500m,26 MAY 2024,1102
3:40.31,CHARLIE O'DONOVAN,IRL,"Hayward Field, Eugene, OR (USA)",1500m,05 JUN 2024,1102
3:40.32,JOE WASKOM,USA,"John McDonnell Field, Fayetteville, AR (USA)",1500m,22 MAY 2024,1102
3:40.32,SIMAS BERTAŠIUS,LTU,"Stade Naimette-Xhovémont, Liège (BEL)",1500m,19 JUN 2024,1102
3:40.32,VLADYSLAV PODZVEZDOV,RUS,"Olympic Stadium, Cheboksary (RUS)",1500m,09 JUL 2024,1102
3:40.33,JESSE HUNT,AUS,"SA Athletic Stadium, Adelaide (AUS)",1500m,11 APR 2024,1102
3:40.33,AIDEN NEAL,USA,"Morris Williams T&F Stadium, Durham, NC (USA)",1500m,12 APR 2024,1102
3:40.33,DANIEL MUNGUTI,KEN,"Stade des Grands Pêchers, Montreuil (FRA)",1500m,16 MAY 2024,1102
3:40.33,MASANORI ANBAI,JPN,"Aoba Park Athletic Field, Chitose (JPN)",1500m,20 JUL 2024,1102
3:40.33,NANAMI ARAI,JPN,"Athletics Stadium, Setagaya, Tokyo (JPN)",1500m,27 JUL 2024,1102
3:40.34,JOE WASKOM,USA,"Cobb Track and Angell Field, Palo Alto, CA (USA)",1500m,26 APR 2024,1102
3:40.34,THOMAS BRIDGER,GBR,"Woodside Stadium, Watford (GBR)",1500m,08 JUN 2024,1102
3:40.34,GEORGE MILLS,GBR,"Manchester Regional Arena, Manchester (GBR)",1500m,29 JUN 2024,1102
3:40.35,ROBIN VAN RIEL,NED,"Boudewijnstadion, Bruxelles (BEL)",1500m,26 MAY 2024,1102
3:40.35,ANDRÉ ALIE-LAMARCHE,CAN,"Alumni Stadium, Guelph (CAN)",1500m,04 JUN 2024,1102
3:40.35,YUDAI NOGUCHI,JPN,"Denka Big Swan Stadium, Niigata (JPN)",1500m,28 JUN 2024,1102
3:40.36,NICK FOSTER,USA,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",1500m,29 MAR 2024,1102
3:40.36,CHARLIE O'DONOVAN,IRL,"Villanova University, Villanova, PA (USA)",1500m,11 MAY 2024,1102
3:40.36,AIDEN COLES,CAN,"Campbell Track, Hamilton (CAN)",1500m,13 JUN 2024,1102
3:40.36,AZEDDINE HABZ,FRA,"Stade Josette et Roger Mikulak, Angers (FRA)",1500m,28 JUN 2024,1102
3:40.37,MATT WISNER,USA,"Kentner Stadium Wake Forest University, Winston Salem, NC (USA)",1500m,19 APR 2024,1102
3:40.37,MACIEJ WYDERKA,POL,"Stadio Olimpico, Roma (ITA)",1500m,10 JUN 2024,1102
3:40.37,ROMAIN MORNET,FRA,"Stade Josette et Roger Mikulak, Angers (FRA)",1500m,28 JUN 2024,1102
3:40.37,JOSEPH TUFFIN,GBR,"Tooting Bec Athletics Track, London (GBR)",1500m,24 JUL 2024,1102
3:40.38,YUSUKE TAKAHASHI,JPN,"Egao Kenko Stadium, Kumamoto (JPN)",1500m,13 APR 2024,1101
3:45.34,JOSH KERR,GBR,"Hayward Field, Eugene, OR (USA)",Mile,25 MAY 2024,1262
3:45.60,JAKOB INGEBRIGTSEN,NOR,"Hayward Field, Eugene, OR (USA)",Mile,25 MAY 2024,1259
3:46.22,YARED NUGUSE,USA,"Hayward Field, Eugene, OR (USA)",Mile,25 MAY 2024,1250
3:47.74,NEIL GOURLEY,GBR,"Hayward Field, Eugene, OR (USA)",Mile,25 MAY 2024,1230
3:47.83,YARED NUGUSE,USA,"Armory Track&Field Center, New York, NY (USA) (i)",Mile,11 FEB 2024,1292
3:47.83,JAKE WIGHTMAN,GBR,"Hayward Field, Eugene, OR (USA)",Mile,25 MAY 2024,1229
3:48.59,REYNOLD CHERUIYOT,KEN,"Hayward Field, Eugene, OR (USA)",Mile,25 MAY 2024,1219
3:48.66,HOBBS KESSLER,USA,"Armory Track&Field Center, New York, NY (USA) (i)",Mile,11 FEB 2024,1281
3:48.93,GEORGE MILLS,GBR,"Armory Track&Field Center, New York, NY (USA) (i)",Mile,11 FEB 2024,1277
3:48.95,COLE HOCKER,USA,"Hayward Field, Eugene, OR (USA)",Mile,25 MAY 2024,1214
3:49.03,OLIVER HOARE,AUS,"Olympic Stadium, London (GBR)",Mile,20 JUL 2024,1213
3:49.06,NARVE GILJE NORDÅS,NOR,"Olympic Stadium, London (GBR)",Mile,20 JUL 2024,1213
3:49.09,GEORDIE BEAMISH,NZL,"Hayward Field, Eugene, OR (USA)",Mile,25 MAY 2024,1213
3:49.11,OLIVER HOARE,AUS,"Hayward Field, Eugene, OR (USA)",Mile,25 MAY 2024,1212
3:49.21,ADEL MECHAAL,ESP,"Olympic Stadium, London (GBR)",Mile,20 JUL 2024,1211
3:49.45,NIELS LAROS,NED,"Olympic Stadium, London (GBR)",Mile,20 JUL 2024,1208
3:49.59,STEWART MCSWEYN,AUS,"Olympic Stadium, London (GBR)",Mile,20 JUL 2024,1206
3:49.62,ADAM FOGG,GBR,"Armory Track&Field Center, New York, NY (USA) (i)",Mile,11 FEB 2024,1268
3:50.14,MARIO GARCÍA,ESP,"Hayward Field, Eugene, OR (USA)",Mile,25 MAY 2024,1199
3:50.15,CAMERON MYERS,AUS,"Hayward Field, Eugene, OR (USA)",Mile,25 MAY 2024,1199
3:50.16,CAMERON MYERS,AUS,"Olympic Stadium, London (GBR)",Mile,20 JUL 2024,1199
3:50.48,ADAM FOGG,GBR,"Olympic Stadium, London (GBR)",Mile,20 JUL 2024,1195
3:50.49,ANDREW COSCORAN,IRL,"Olympic Stadium, London (GBR)",Mile,20 JUL 2024,1194
3:50.56,VINCENT CIATTEI,USA,"Armory Track&Field Center, New York, NY (USA) (i)",Mile,02 MAR 2024,1255
3:50.92,FILIP RAK,POL,"Olympic Stadium, London (GBR)",Mile,20 JUL 2024,1189
3:51.00,JOCHEM VERMEULEN,BEL,"Olympic Stadium, London (GBR)",Mile,20 JUL 2024,1188
3:51.06,YARED NUGUSE,USA,"Franklin Field, Philadelphia, PA (USA)",Mile,27 APR 2024,1187
3:51.28,OLIVER HOARE,AUS,"Franklin Field, Philadelphia, PA (USA)",Mile,27 APR 2024,1184
3:51.46,ERIC HOLT,USA,"Franklin Field, Philadelphia, PA (USA)",Mile,27 APR 2024,1182
3:51.51,JACK ANSTEY,AUS,"Armory Track&Field Center, New York, NY (USA) (i)",Mile,02 MAR 2024,1242
3:51.72,JOHNATHAN RENIEWICKI,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,10 FEB 2024,1239
3:51.73,LUKE HOUSER,USA,"Dempsey Indoor, Seattle, WA (USA) (i)",Mile,27 JAN 2024,1178
3:51.82,ABEL KIPSANG,KEN,"Hayward Field, Eugene, OR (USA)",Mile,25 MAY 2024,1177
3:51.91,ANASS ESSAYI,MAR,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,10 FEB 2024,1236
3:51.92,CASEY COMBER,USA,"Armory Track&Field Center, New York, NY (USA) (i)",Mile,11 FEB 2024,1236
3:52.00,STEWART MCSWEYN,AUS,"Lakeside Stadium, Melbourne (AUS)",Mile,15 FEB 2024,1175
3:52.05,CRAIG ENGELS,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,10 FEB 2024,1235
3:52.06,CATHAL DOYLE,IRL,"Morton Stadium, Dublin (IRL)",Mile,12 JUL 2024,1174
3:52.07,VINCENT CIATTEI,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,03 FEB 2024,1234
3:52.11,JAKE WIGHTMAN,GBR,"Lakeside Stadium, Melbourne (AUS)",Mile,15 FEB 2024,1174
3:52.28,JACK ANSTEY,AUS,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,03 FEB 2024,1231
3:52.30,ELLIOT GILES,GBR,"Olympic Stadium, London (GBR)",Mile,20 JUL 2024,1171
3:52.32,SAMUEL PRAKEL,USA,"Morton Stadium, Dublin (IRL)",Mile,12 JUL 2024,1171
3:52.35,ERIC HOLT,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,10 FEB 2024,1231
3:52.41,BRIAN FAY,IRL,"Morton Stadium, Dublin (IRL)",Mile,12 JUL 2024,1170
3:52.44,CAMERON MYERS,AUS,"Lakeside Stadium, Melbourne (AUS)",Mile,15 FEB 2024,1169
3:52.54,VINCENT CIATTEI,USA,"Olympic Stadium, London (GBR)",Mile,20 JUL 2024,1168
3:52.60,ERIC HOLT,USA,"Armory Track&Field Center, New York, NY (USA) (i)",Mile,02 MAR 2024,1227
3:52.62,HENRY WYNNE,USA,"Dempsey Indoor, Seattle, WA (USA) (i)",Mile,23 FEB 2024,1167
3:52.65,SAMUEL PRAKEL,USA,"Dempsey Indoor, Seattle, WA (USA) (i)",Mile,23 FEB 2024,1167
3:52.66,THOMAS VANOPPEN,BEL,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,10 FEB 2024,1226
3:52.67,CHARLES GRETHEN,LUX,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,03 FEB 2024,1226
3:52.70,ADAM SPENCER,AUS,"Armory Track&Field Center, New York, NY (USA) (i)",Mile,11 FEB 2024,1226
3:52.71,BENJAMIN ALLEN,USA,"Armory Track&Field Center, New York, NY (USA) (i)",Mile,02 MAR 2024,1226
3:52.81,AJ ERNST,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,03 FEB 2024,1224
3:53.09,BRANNON KIDDER,USA,"Dempsey Indoor, Seattle, WA (USA) (i)",Mile,27 JAN 2024,1161
3:53.12,CHARLES PHILIBERT-THIBOUTOT,CAN,"Armory Track&Field Center, New York, NY (USA) (i)",Mile,11 FEB 2024,1220
3:53.16,SAMUEL TANNER,NZL,"Lakeside Stadium, Melbourne (AUS)",Mile,15 FEB 2024,1160
3:53.17,COLIN SAHLMAN,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,26 JAN 2024,1219
3:53.17,BENJAMIN ALLEN,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,10 FEB 2024,1219
3:53.22,CALLUM ELSON,GBR,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,10 FEB 2024,1219
3:53.38,MATT WISNER,USA,"Rector Fieldhouse, Blacksburg, VA (USA) (i)",Mile,03 FEB 2024,1217
3:53.41,CHARLES PHILIBERT-THIBOUTOT,CAN,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,26 JAN 2024,1216
3:53.41,COOPER TEARE,USA,"Armory Track&Field Center, New York, NY (USA) (i)",Mile,11 FEB 2024,1216
3:53.42,JOE WASKOM,USA,"Morton Stadium, Dublin (IRL)",Mile,12 JUL 2024,1157
3:53.54,ISAAC BASTEN,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,10 FEB 2024,1215
3:53.55,ADAM FOGG,GBR,"Armory Track&Field Center, New York, NY (USA) (i)",Mile,27 JAN 2024,1214
3:53.62,BRANNON KIDDER,USA,"Dempsey Indoor, Seattle, WA (USA) (i)",Mile,23 FEB 2024,1154
3:53.62,BENJAMIN ALLEN,USA,"Franklin Field, Philadelphia, PA (USA)",Mile,27 APR 2024,1154
3:53.64,JOE WASKOM,USA,"Dempsey Indoor, Seattle, WA (USA) (i)",Mile,27 JAN 2024,1154
3:53.67,NATHAN GREEN,USA,"Munster Technological University Track, Cork (IRL)",Mile,09 JUL 2024,1154
3:53.70,WALEED SULIMAN,USA,"Dempsey Indoor, Seattle, WA (USA) (i)",Mile,23 FEB 2024,1153
3:53.70,ADAM SPENCER,AUS,"Morton Stadium, Dublin (IRL)",Mile,12 JUL 2024,1153
3:53.74,NATHAN GREEN,USA,"Dempsey Indoor, Seattle, WA (USA) (i)",Mile,27 JAN 2024,1153
3:53.78,JESSE HUNT,AUS,"Lakeside Stadium, Melbourne (AUS)",Mile,15 FEB 2024,1152
3:53.82,LAMECHA GIRMA,ETH,"Hayward Field, Eugene, OR (USA)",Mile,25 MAY 2024,1152
3:53.85,LIAM MURPHY,USA,"Ashenfelter Indoor Track, State College, PA (USA) (i)",Mile,26 JAN 2024,1210
3:53.92,COOPER TEARE,USA,"Hayward Field, Eugene, OR (USA)",Mile,25 MAY 2024,1150
3:53.93,CASEY COMBER,USA,"Armory Track&Field Center, New York, NY (USA) (i)",Mile,27 JAN 2024,1209
3:53.96,LIAM MURPHY,USA,"Armory Track&Field Center, New York, NY (USA) (i)",Mile,11 FEB 2024,1209
3:53.98,THOMAS VANOPPEN,BEL,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,03 FEB 2024,1209
3:54.03,CRAIG ENGELS,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,26 JAN 2024,1208
3:54.12,ROB NAPOLITANO,PUR,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,10 FEB 2024,1207
3:54.15,MARIO GARCÍA,ESP,"Armory Track&Field Center, New York, NY (USA) (i)",Mile,11 FEB 2024,1206
3:54.16,CHARLIE O'DONOVAN,IRL,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,10 FEB 2024,1206
3:54.17,PARKER WOLFE,USA,"The Track at New Balance, Boston, MA (USA) (i)",Mile,24 FEB 2024,1206
3:54.28,NOAH BALTUS,NED,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",Mile,03 FEB 2024,1205
3:54.33,AJ ERNST,USA,"Franklin Field, Philadelphia, PA (USA)",Mile,27 APR 2024,1145
3:54.43,MOHAD ABDIKADAR SHEIK ALI,ITA,"Morton Stadium, Dublin (IRL)",Mile,12 JUL 2024,1144
