,Mark,Competitor,Nat,Location,Date,Results Score,Discipline
1640,2:26:24,Rodah JEPKORIR,KEN,Wuxi (CHN),24 MAR 2024,1168,Full
1641,2:26:24,Daiana OCAMPO,ARG,Hamburg (GER),28 APR 2024,1168,Full
1642,2:26:25,Rediet DANIEL,ETH,Doha (QAT),16 FEB 2024,1168,Full
1643,2:26:30,Monica CHEBET,KEN,Wuxi (CHN),24 MAR 2024,1167,Full
1644,2:26:32,Khishigsaikhan GALBADRAKH,MGL,Tokyo (JPN),03 MAR 2024,1167,Full
1645,2:26:32,Tigist MEMUYE,ETH,Milano (ITA),07 APR 2024,1167,Full
1646,2:26:34,Mary Zenaida GRANJA,ECU,Sevilla (ESP),18 FEB 2024,1167,Full
1647,2:26:38,Tereza HROCHOVÁ,CZE,Sevilla (ESP),18 FEB 2024,1166,Full
1648,2:26:39,Maor TIYOURI,ISR,Rotterdam (NED),14 APR 2024,1166,Full
1649,2:26:40,Pauline Chemning KORIKWIANG,KEN,Wuhan (CHN),24 MAR 2024,1166,Full
1650,2:26:41,Vivian JEROTICH,KEN,Eindhoven (NED),13 OCT 2024,1166,Full
1651,2:26:42,Zhanna MAMAZHANOVA,KAZ,Rotterdam (NED),14 APR 2024,1165,Full
1652,2:26:43,Chimdesa KUMSA,ETH,Taiyuan (CHN),22 SEP 2024,1165,Full
1653,2:26:47,Luz Mery ROJAS,PER,Sevilla (ESP),18 FEB 2024,1165,Full
1654,2:26:47,Sardana TROFIMOVA,KGZ,"Stade de France, Paris (FRA)",11 AUG 2024,1165,Full
1655,2:26:47,Cuomu CIREN,CHN,Hengshui (CHN),22 SEP 2024,1165,Full
1656,2:26:48,Ruth JEBET,BRN,Zheng-Kai (CHN),31 MAR 2024,1164,Full
1657,2:26:49,Jovana DE LA CRUZ,PER,"Houston, TX (USA)",14 JAN 2024,1164,Full
1658,2:26:50,Madoka NAKANO,JPN,Osaka (JPN),28 JAN 2024,1164,Full
1659,2:26:51,Muluhabt TSEGA,ETH,Mumbai (IND),21 JAN 2024,1164,Full
1660,2:26:51,Sakiho TSUTSUI,JPN,Rotterdam (NED),14 APR 2024,1164,Full
1661,2:26:53,Deshun ZHANG,CHN,Xiamen (CHN),07 JAN 2024,1164,Full
1662,2:26:53,Pauline ESIKON,KEN,Berlin (GER),29 SEP 2024,1164,Full
1663,2:26:54,Natsuki OMORI,JPN,Nagoya (JPN),10 MAR 2024,1163,Full
1664,2:26:55,Asimarech NAGA,ETH,Rabat (MAR),21 APR 2024,1163,Full
1665,2:26:57,Chernet MISGANAW,ETH,Wuxi (CHN),24 MAR 2024,1163,Full
1666,2:26:57,Sandrafelis Chebet TUEI,KEN,Daegu (KOR),07 APR 2024,1163,Full
1667,2:26:59,Vivian KIPLAGAT,KEN,Daegu (KOR),07 APR 2024,1163,Full
1668,2:27:04,Bontu BEKELE,ETH,Madrid (ESP),28 APR 2024,1162,Full
1669,2:27:11,Rael Nguriatukei KINYARA,KEN,Lisboa (POR),06 OCT 2024,1161,Full
1670,2:27:13,Mayu NISHIKAWA,JPN,Osaka (JPN),28 JAN 2024,1160,Full
1671,2:27:13,Lilian JEBITOK,KEN,Hannover (GER),14 APR 2024,1160,Full
1672,2:27:16,Souad KABOUCHIA,MAR,Enschede (NED),21 APR 2024,1160,Full
1673,2:27:19,Ayantu KUMELA,ETH,Hamburg (GER),28 APR 2024,1159,Full
1674,2:27:22,Salomé ROCHA,POR,Barcelona (ESP),10 MAR 2024,1159,Full
1675,2:27:23,Kwang-Ok RI,PRK,Wuxi (CHN),24 MAR 2024,1159,Full
1676,2:27:23,Juliette THOMAS,BEL,Eindhoven (NED),13 OCT 2024,1159,Full
1677,2:27:29,Amina BETTICHE,ALG,Sevilla (ESP),18 FEB 2024,1158,Full
1678,2:27:30,Solange JESUS,POR,Sevilla (ESP),18 FEB 2024,1157,Full
1679,2:27:30,Kebene CHALA,ETH,Madrid (ESP),28 APR 2024,1157,Full
1680,2:27:31,Margaret AGAI,KEN,Copenhagen (DEN),05 MAY 2024,1157,Full
1681,2:27:31,Nóra SZABÓ,HUN,Berlin (GER),29 SEP 2024,1157,Full
1682,2:27:32,Dan LI,CHN,Wuxi (CHN),24 MAR 2024,1157,Full
