,Mark,Competitor,Nat,Location,Date,Results Score,Discipline,Athlete ID,Number of Runs,Number of Bike Rides,Profile Visibility
1165,32:22.45,Stephanie BRUCE,USA,"Parliament Hill Fields Athletics Track, London (GBR)",18 MAY 2024,1119,10000m,49992561,7,0,Public
1166,32:22.68,Isabel BARREIRO,ESP,"Estadi Municipal La Bòbila, Gavá (ESP)",02 MAR 2024,1119,10000m,24262566,1588,14,Private
1167,32:22.98,Kana KOBAYASHI,JPN,"Ishin Me-Life Stadium, Yamaguchi (JPN)",21 SEP 2024,1119,10000m,68097821,909,17,Public
1168,32:24.43,Atsede BAYISA,ETH,"Mt. Hood Community College, Gresham, OR (USA)",08 JUN 2024,1118,10000m,NA,NA,NA,NA
1169,32:24.50,Sora SHINOZAKURA,JPN,"Universiade Commemorative Stadium, Kobe (JPN)",21 APR 2024,1118,10000m,NA,NA,NA,NA
1170,32:24.82,Jacqueline GAUGHAN,USA,"Jack Kemp Stadium, Los Angeles, CA (USA)",11 MAY 2024,1117,10000m,97783620,0,0,Public
1171,32:25.78,Beatriz ÁLVAREZ,ESP,"Estadi Municipal La Bòbila, Gavá (ESP)",02 MAR 2024,1116,10000m,117959278,80,5,Public
1172,32:26.25,Philippa BOWDEN,GBR,"Parliament Hill Fields Athletics Track, London (GBR)",18 MAY 2024,1116,10000m,45738802,21,0,Private
1173,32:26.88,Carrie VERDON,USA,"Jack Kemp Stadium, Los Angeles, CA (USA)",11 MAY 2024,1115,10000m,22649289,0,0,Public
1174,32:27.67,Jessie CARDIN,USA,"Parliament Hill Fields Athletics Track, London (GBR)",18 MAY 2024,1115,10000m,NA,NA,NA,NA
1175,32:27.71,Kaho ONISHI,JPN,"Athletic Track, Abashiri (JPN)",10 JUL 2024,1115,10000m,NA,NA,NA,NA
1176,32:28.31,Danielle POLERECKY,USA,"Cobb Track and Angell Field, Palo Alto, CA (USA)",29 MAR 2024,1114,10000m,NA,NA,NA,NA
1177,32:28.70,Natosha ROGERS,USA,"Hayward Field, Eugene, OR (USA)",29 JUN 2024,1114,10000m,NA,NA,NA,NA
1178,32:28.89,Grace HARTMAN,USA,"Paul Derr TF Facility, Raleigh, NC (USA)",29 MAR 2024,1114,10000m,32004939,1255,37,Public
1179,32:28.94,Jennifer GULIKERS,NED,"Parliament Hill Fields Athletics Track, London (GBR)",18 MAY 2024,1114,10000m,26990912,1721,24,Public
1180,32:29.74,Nwabisa MJOLI,RSA,"Msunduzi Athletics Stadium, Pietermaritzburg (RSA)",27 JAN 2024,1113,10000m,NA,NA,NA,NA
1181,32:30.31,Katie IZZO,USA,"Hayward Field, Eugene, OR (USA)",29 JUN 2024,1112,10000m,55907773,246,10,Public
1182,32:31.41,Elena HAYDAY,USA,"Jack Kemp Stadium, Los Angeles, CA (USA)",11 MAY 2024,1111,10000m,88477828,1649,9,Private
1183,32:31.72,Kaho HORIO,JPN,"Athletic Track, Abashiri (JPN)",10 JUL 2024,1111,10000m,NA,NA,NA,NA
1184,32:31.8h,Joy CHEPTOYEK,UGA,"Nyayo National Stadium, Nairobi (KEN)",22 MAY 2024,1111,10000m,NA,NA,NA,NA
1185,32:33.33,Aubrey FRENTHEWAY,USA,"Mt. Hood Community College, Gresham, OR (USA)",08 JUN 2024,1110,10000m,NA,NA,NA,NA
1186,32:33.73,Annie RODENFELS,USA,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",16 MAR 2024,1109,10000m,15124771,4692,44,Public
1187,32:33.88,Rika KASEDA,JPN,"Yanmar Stadium Nagai, Osaka (JPN)",31 MAY 2024,1109,10000m,NA,NA,NA,NA
1188,32:35.17,Anna VIKULOVA,RUS,"Kalininets Stadium, Yekaterinburg (RUS)",17 AUG 2024,1108,10000m,135611776,14,0,Public
1189,32:35.43,Sandrafelis Chebet TUEI,KEN,"Ulinzi Sports Complex, Langata, Nairobi (KEN)",05 JAN 2024,1108,10000m,NA,NA,NA,NA
1190,32:35.92,Mélody JULIEN,FRA,"Stade Complexe Sportif Jean-Paul Chasseboeuf, Pacé (FRA)",04 MAY 2024,1108,10000m,28301861,0,0,Public
1191,32:36.16,Andrea MARKEZICH,USA,"Paul Derr TF Facility, Raleigh, NC (USA)",29 MAR 2024,1107,10000m,73422375,1390,3,Private
1192,32:36.25,Chloe SCRIMGEOUR,USA,"Villanova University, Villanova, PA (USA)",09 MAY 2024,1107,10000m,104290453,163,0,Public
1193,32:36.47,Sydney THORVALDSON,USA,"Cobb Track and Angell Field, Palo Alto, CA (USA)",29 MAR 2024,1107,10000m,NA,NA,NA,NA
1194,32:36.64,Veerle BAKKER,NED,"Atletiekbaan Brakkenstein, Nijmegen (NED)",18 MAY 2024,1107,10000m,26080027,16,188,Private
1195,32:36.77,Anastasia MARINAKOU,GRE,"Parliament Hill Fields Athletics Track, London (GBR)",18 MAY 2024,1107,10000m,133474377,348,4,Private
1196,32:36.97,Yasna PETROVA,BUL,"Cobb Track and Angell Field, Palo Alto, CA (USA)",29 MAR 2024,1107,10000m,146778869,483,3,Private
1197,32:37.60,Alicia BERZOSA,ESP,"Stadio Olimpico, Roma (ITA)",11 JUN 2024,1106,10000m,148836674,397,2,Private
1198,32:37.60,Deborah CHEMUTAI,KEN,"Athletics Stadium, Fukagawa (JPN)",17 JUL 2024,1106,10000m,NA,NA,NA,NA
1199,32:38.73,Silke JONKMAN,NED,"Stadio Olimpico, Roma (ITA)",11 JUN 2024,1105,10000m,23254495,1639,143,Public
1200,32:40.25,Laura PRIEGO,ESP,"Stadio Olimpico, Roma (ITA)",11 JUN 2024,1104,10000m,133448894,230,5,Public
1201,32:40.85,Tiantian LIANG,CHN,"HOC Stadium, Hangzhou (CHN)",13 APR 2024,1103,10000m,NA,NA,NA,NA
1202,32:40.92,Lily MURPHY,USA,"Paul Derr TF Facility, Raleigh, NC (USA)",29 MAR 2024,1103,10000m,61882404,535,78,Public
1203,32:41.22,Alexandra HAYS,USA,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",16 MAR 2024,1103,10000m,146645674,9,0,Public
1204,32:41.41,Lilla BÖHM,HUN,"Stadio Olimpico, Roma (ITA)",11 JUN 2024,1103,10000m,NA,NA,NA,NA
1205,32:41.48,Mica RIVERA,USA,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",16 MAR 2024,1103,10000m,7860120,2942,10,Public
1206,32:42.09,Momoka KAWAGUCHI,JPN,"Prefectural Shizuoka Stadium, Fukuroi (JPN)",03 MAY 2024,1102,10000m,NA,NA,NA,NA
1207,32:42.12,Susanna SULLIVAN,USA,"Hayward Field, Eugene, OR (USA)",29 JUN 2024,1102,10000m,120779806,0,0,Public
1208,32:43.28,Georgie GRGEC,NZL,"Parliament Hill Fields Athletics Track, London (GBR)",18 MAY 2024,1101,10000m,18114045,1776,608,Private
1209,32:43.4h,Gladys KWAMBOKA,KEN,"Nyayo National Stadium, Nairobi (KEN)",22 MAY 2024,1101,10000m,NA,NA,NA,NA
1210,32:44.19,Jenny SCHILLING,USA,"Paul Derr TF Facility, Raleigh, NC (USA)",29 MAR 2024,1100,10000m,75011547,1080,18,Private
1211,32:44.42,Mizuki MATSUDA,JPN,"Yanmar Stadium Nagai, Osaka (JPN)",31 MAY 2024,1100,10000m,89777590,0,0,Public
1212,32:44.62,Erin STRZELECKI,USA,"Paul Derr TF Facility, Raleigh, NC (USA)",29 MAR 2024,1100,10000m,74338147,2113,8,Public
1213,1:03:04,Agnes Jebet NGETICH,KEN,Valencia (ESP),27 OCT 2024,1277,Half,NA,NA,NA,NA
1214,1:03:21,Fotyen TESFAY,ETH,Valencia (ESP),27 OCT 2024,1270,Half,NA,NA,NA,NA
1215,1:03:32,Lilian Kasait RENGERUK,KEN,Valencia (ESP),27 OCT 2024,1266,Half,NA,NA,NA,NA
1216,1:04:14,Ejgayehu TAYE,ETH,Valencia (ESP),27 OCT 2024,1251,Half,NA,NA,NA,NA
1217,1:04:29,Joyciline JEPKOSGEI,KEN,Barcelona (ESP),11 FEB 2024,1246,Half,NA,NA,NA,NA
1218,1:04:37,Sutume Asefa KEBEDE,ETH,"Houston, TX (USA)",14 JAN 2024,1243,Half,NA,NA,NA,NA
1219,1:04:40,Senbere TEFERI,ETH,Barcelona (ESP),11 FEB 2024,1242,Half,NA,NA,NA,NA
1220,1:05:11,Margaret Chelimo KIPKEMBOI,KEN,Copenhagen (DEN),15 SEP 2024,1231,Half,NA,NA,NA,NA
1221,1:05:14,Tsigie GEBRESELAMA,ETH,Ras Al Khaimah (UAE),24 FEB 2024,1230,Half,NA,NA,NA,NA
1222,1:05:31,Yalemzerf YEHUALAW,ETH,Larne (GBR),25 AUG 2024,1224,Half,85340619,0,0,Public
1223,1:05:43,Judy KEMBOI,KEN,Copenhagen (DEN),15 SEP 2024,1219,Half,NA,NA,NA,NA
1224,1:05:44,Ababel YESHANEH,ETH,Ras Al Khaimah (UAE),24 FEB 2024,1219,Half,NA,NA,NA,NA
1225,1:05:51,Brigid KOSGEI,KEN,Lisboa (POR),17 MAR 2024,1217,Half,NA,NA,NA,NA
1226,1:05:58,Loice CHEMNUNG,KEN,Málaga (ESP),10 MAR 2024,1214,Half,NA,NA,NA,NA
1227,1:05:58,Ruth CHEPNGETICH,KEN,Buenos Aires (ARG),25 AUG 2024,1214,Half,NA,NA,NA,NA
1228,1:05:59,Winfridah Moraa MOSETI,KEN,Málaga (ESP),10 MAR 2024,1214,Half,NA,NA,NA,NA
1229,1:06:05,Jackline SAKILU,TAN,Ras Al Khaimah (UAE),24 FEB 2024,1212,Half,NA,NA,NA,NA
1230,1:06:06,Sheila CHELANGAT,KEN,Valencia (ESP),27 OCT 2024,1211,Half,126831220,0,0,Public
1231,1:06:07,Hellen OBIRI,KEN,"Houston, TX (USA)",14 JAN 2024,1211,Half,NA,NA,NA,NA
1232,1:06:07,Dolphine Nyaboke OMARE,KEN,Marugame (JPN),04 FEB 2024,1211,Half,NA,NA,NA,NA
