,Mark,Competitor,Nat,Location,Date,Results Score,Discipline
1102,13:19.23,Felix Kiptarus KORIR,KEN,"Athletics Stadium, Fukagawa (JPN)",17 JUL 2024,1140,5000m
1103,13:19.29,Edwin KIPSAISAK,KEN,"Nishishina Athletic Stadium, Nobeoka (JPN)",04 MAY 2024,1140,5000m
1104,13:19.33,Johnathan RENIEWICKI,USA,"Drake Stadium, Los Angeles, CA (USA)",17 MAY 2024,1140,5000m
1105,13:19.41,Scott BEATTIE,GBR,"Parc des Sports, Maisons-Laffitte (FRA)",06 JUL 2024,1139,5000m
1106,13:19.59,Brian BARRAZA,USA,"Cougar Athletic Stadium, Azusa, CA (USA)",12 APR 2024,1139,5000m
1107,13:19.66,Will BARNICOAT,GBR,"Parc des Sports, Maisons-Laffitte (FRA)",06 JUL 2024,1139,5000m
1108,13:19.70,Sam PARSONS,GER,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1188,5000m
1109,13:19.77,Etienne DAGUINOS,FRA,"Stade Raymond Troussier, Decines (FRA)",04 MAY 2024,1138,5000m
1110,13:19.90,Merhawi MEBRAHTU,ERI,"LAZ Wien, Wien (AUT)",22 JUN 2024,1138,5000m
1111,13:19.98,Razini LEMETEKI,KEN,"Nishishina Athletic Stadium, Nobeoka (JPN)",04 MAY 2024,1137,5000m
1112,13:20.11,Nibret MELAK,ETH,"Suzhou Olympic Sports Centre, Suzhou (CHN)",27 APR 2024,1137,5000m
1113,13:20.17,Charles WHEELER,GBR,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1187,5000m
1114,13:20.28,Hyuga ENDO,JPN,"National Stadium, Tokyo (JPN)",19 MAY 2024,1136,5000m
1115,13:20.29,Samson NDIRANGU,KEN,"Municipal Stadium, Kitami (JPN)",06 JUL 2024,1136,5000m
1116,13:20.34,Baldvin MAGNUSSON,ISL,"Estadio Iberoamericano, Huelva (ESP)",30 APR 2024,1136,5000m
1117,13:20.37,Avinash Mukund SABLE,IND,"Jack Kemp Stadium, Los Angeles, CA (USA)",11 MAY 2024,1136,5000m
1118,13:20.42,Takuma SUNAOKA,JPN,"Denka Big Swan Stadium, Niigata (JPN)",28 JUN 2024,1136,5000m
1119,13:20.61,Jamal Abdelmaji EISA MOHAMMED,ART,"LAZ Wien, Wien (AUT)",22 JUN 2024,1135,5000m
1120,13:20.65,Sebastian FREY,AUT,"Stadion De Veen, Heusden-Zolder (BEL)",15 JUN 2024,1135,5000m
1121,13:20.95,Fernando CARRO,ESP,"Estadio Iberoamericano, Huelva (ESP)",30 APR 2024,1134,5000m
1122,13:20.99,Daniel KOSEN,KEN,"Ishin Me-Life Stadium, Yamaguchi (JPN)",23 SEP 2024,1134,5000m
1123,13:21.50,Boki DIRIBA,ETH,"Stadio Olimpico, Roma (ITA)",30 AUG 2024,1132,5000m
1124,13:21.52,Paul CHELIMO,USA,"Stade Raymond Troussier, Decines (FRA)",04 MAY 2024,1132,5000m
1125,13:21.55,Shadrack RONO,KEN,"Egao Kenko Stadium, Kumamoto (JPN)",13 APR 2024,1132,5000m
1126,13:21.56,Kazuki TAMURA,JPN,"Denka Big Swan Stadium, Niigata (JPN)",28 JUN 2024,1132,5000m
1127,13:21.77,Wesley KIPTOO,KEN,"Lincoln HS, Portland, OR (USA)",09 JUN 2024,1131,5000m
1128,13:21.78,Eric VAN DER ELS,USA,"Lincoln HS, Portland, OR (USA)",09 JUN 2024,1131,5000m
1129,13:21.87,Abdessamad OUKHELFEN,ESP,"Stade Raymond Troussier, Decines (FRA)",04 MAY 2024,1131,5000m
1130,13:22.01,Hideto KOSODE,JPN,"Denka Big Swan Stadium, Niigata (JPN)",28 JUN 2024,1130,5000m
1131,13:22.10,Mogeni Benuel MAGOMA,KEN,"Nishishina Athletic Stadium, Nobeoka (JPN)",04 MAY 2024,1130,5000m
1132,13:22.15,Samuel PRAKEL,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1179,5000m
1133,13:22.17,Ayumu KOBAYASHI,JPN,"Denka Big Swan Stadium, Niigata (JPN)",28 JUN 2024,1130,5000m
1134,13:22.20,Yeneblo BIYAZEN,ETH,"Egao Kenko Stadium, Kumamoto (JPN)",13 APR 2024,1130,5000m
1135,13:22.26,Maxime CHAUMETON,RSA,"Parc des Sports, Maisons-Laffitte (FRA)",06 JUL 2024,1129,5000m
1136,13:22.53,Willy FINK,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1178,5000m
1137,13:22.58,Brian KIPYEGON,KEN,"Athletics Stadium, Fukagawa (JPN)",17 JUL 2024,1128,5000m
1138,13:22.68,Ben VEATCH,USA,"Lincoln HS, Portland, OR (USA)",09 JUN 2024,1128,5000m
1139,13:22.74,Joel Ibler LILLESØ,DEN,"Stadion De Veen, Heusden-Zolder (BEL)",15 JUN 2024,1128,5000m
1140,13:22.94,Dillon MAGGARD,USA,"Drake Stadium, Los Angeles, CA (USA)",17 MAY 2024,1127,5000m
1141,13:23.24,Andrew COLLEY,USA,"Lincoln HS, Portland, OR (USA)",09 JUN 2024,1126,5000m
1142,13:23.34,Tai DINGER,USA,"Lincoln HS, Portland, OR (USA)",09 JUN 2024,1126,5000m
1143,13:23.60,Victor KIMUTAI,KEN,"Nishishina Athletic Stadium, Nobeoka (JPN)",04 MAY 2024,1125,5000m
1144,13:23.61,Anthony CAMERIERI,USA,"Drake Stadium, Los Angeles, CA (USA)",17 MAY 2024,1125,5000m
1145,13:23.63,Kazuya SHIOJIRI,JPN,"National Stadium, Tokyo (JPN)",19 MAY 2024,1124,5000m
1146,13:23.66,Ferdinand Kvan EDMAN,NOR,"Bislett Stadion, Oslo (NOR)",30 MAY 2024,1124,5000m
1147,13:23.74,Yusuke TAMURA,JPN,"Denka Big Swan Stadium, Niigata (JPN)",28 JUN 2024,1124,5000m
1148,13:23.75,Emmanuel BOR,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",16 FEB 2024,1173,5000m
1149,13:23.81,Tomoki OTA,JPN,"National Stadium, Tokyo (JPN)",19 MAY 2024,1124,5000m
1150,13:23.83,Efrem GIDEY,IRL,"Parc des Sports, Maisons-Laffitte (FRA)",06 JUL 2024,1124,5000m
1151,13:23.91,Hayden WILDE,NZL,"Estadio Iberoamericano, Huelva (ESP)",30 APR 2024,1124,5000m
1152,13:24.06,Shunsuke YOSHII,JPN,"Municipal Stadium, Hiroshima (JPN)",29 APR 2024,1123,5000m
1153,13:24.08,Casey CLINGER,USA,"Cougar Athletic Stadium, Azusa, CA (USA)",12 APR 2024,1123,5000m
1154,13:24.13,Rogers KIBET,UGA,"Egao Kenko Stadium, Kumamoto (JPN)",13 APR 2024,1123,5000m
1155,13:24.15,Brian KIPTOO,KEN,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",01 JUN 2024,1123,5000m
1156,13:24.16,Tommy BRADY,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1172,5000m
1157,13:24.18,Ahmed JAZIRI,TUN,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1172,5000m
1158,13:24.22,Richard YATOR,KEN,"Nishishina Athletic Stadium, Nobeoka (JPN)",04 MAY 2024,1122,5000m
1159,13:24.25,Awet Nftalem KIBRAB,NOR,"Sandnes Stadion, Sandnes (NOR)",29 JUN 2024,1122,5000m
1160,13:24.41,Muthoni MUIRU,KEN,"Municipal Stadium, Kitami (JPN)",06 JUL 2024,1122,5000m
1161,13:24.44,Victor KIPROP,KEN,"Cougar Athletic Stadium, Azusa, CA (USA)",12 APR 2024,1122,5000m
1162,13:24.45,Kibet MANGATA,KEN,"Athletics Stadium, Fukagawa (JPN)",17 JUL 2024,1122,5000m
1163,13:24.53,Daniel KINYANJUI,KEN,"FBK Stadium, Hengelo (NED)",07 JUL 2024,1121,5000m
1164,13:24.64,Dan KIBET,UGA,"Egret Stadium, Xiamen (CHN)",20 APR 2024,1121,5000m
1165,13:24.82,Abdrselam WORKU,ETH,"FBK Stadium, Hengelo (NED)",07 JUL 2024,1120,5000m
1166,13:24.83,Zakariya MAHAMED,GBR,"Estadio Iberoamericano, Huelva (ESP)",30 APR 2024,1120,5000m
1167,13:24.96,Nickson Lesiyia PARIKEN,KEN,"Nishishina Athletic Stadium, Nobeoka (JPN)",04 MAY 2024,1120,5000m
1168,13:25.08,Max STUDER,SUI,"LAZ Wien, Wien (AUT)",22 JUN 2024,1119,5000m
1169,13:25.09,Yuto IMAE,JPN,"Ishin Me-Life Stadium, Yamaguchi (JPN)",23 SEP 2024,1119,5000m
1170,13:25.16,Miguel MOREIRA,POR,"Keskusurheilukenttä, Joensuu (FIN)",20 JUL 2024,1119,5000m
1171,13:25.50,Keita YOSHIDA,JPN,"National Stadium, Tokyo (JPN)",19 MAY 2024,1118,5000m
1172,13:25.62,Sam MCENTEE,AUS,"Jack Kemp Stadium, Los Angeles, CA (USA)",11 MAY 2024,1117,5000m
1173,13:25.86,Daniel SIMMONS,USA,"Lincoln HS, Portland, OR (USA)",09 JUN 2024,1117,5000m
1174,13:26.05,Vincent Kibet YEGON,KEN,"Nishishina Athletic Stadium, Nobeoka (JPN)",04 MAY 2024,1116,5000m
1175,13:26.16,Benard KETER,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1165,5000m
1176,13:26.51,Jenberu SISAY,ETH,"FBK Stadium, Hengelo (NED)",07 JUL 2024,1114,5000m
1177,13:26.52,Charles ROTICH,KEN,"Harjun stadion, Jyväskylä (FIN)",22 MAY 2024,1114,5000m
1178,13:26.56,Evans KIPLAGAT,KEN,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1163,5000m
1179,13:26.92,Henrik INGEBRIGTSEN,NOR,"Boudewijnstadion, Bruxelles (BEL)",25 MAY 2024,1113,5000m
1180,13:26.99,Nassim HASSAOUS,ESP,"Boudewijnstadion, Bruxelles (BEL)",25 MAY 2024,1113,5000m
1181,13:27.00,Miguel COCA,USA,"Lincoln HS, Portland, OR (USA)",09 JUN 2024,1113,5000m
1182,13:27.01,Kelvin KIPLAGAT,KEN,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",29 SEP 2024,1113,5000m
1183,13:27.21,Jonson MUGENI,KEN,"Nishishina Athletic Stadium, Nobeoka (JPN)",04 MAY 2024,1112,5000m
1184,13:27.25,Arthur GERVAIS,FRA,"Heinz-Steyer-Stadion, Dresden (GER)",30 AUG 2024,1112,5000m
1185,13:27.26,Jesse HAMLIN,USA,"Cougar Athletic Stadium, Azusa, CA (USA)",12 APR 2024,1112,5000m
1186,13:27.28,Adisu GIRMA,ETH,"Bungertstadion, Rehlingen (GER)",19 MAY 2024,1112,5000m
1187,13:27.28,Yuichiro NISHIKAWA,JPN,"Aoba Park Athletic Field, Chitose (JPN)",20 JUL 2024,1112,5000m
1188,13:27.34,Therence BIZOZA,BDI,"Polisportivo Comunale, San Vito al Tagliamento (ITA)",02 JUN 2024,1111,5000m
1189,13:27.42,Emil DANIELSSON,SWE,"Stadio Olimpico, Roma (ITA)",08 JUN 2024,1111,5000m
1190,13:27.43,Said MECHAAL,ESP,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1160,5000m
1191,13:27.48,Richard ETIR,KEN,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",06 JUL 2024,1111,5000m
1192,13:27.55,Patrick KIPROP,KEN,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1159,5000m
1193,13:27.71,Ryuto IGAWA,JPN,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",01 JUN 2024,1110,5000m
1194,13:27.83,Alex PHILLIP,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1158,5000m
1195,13:27.96,Dennis KIPRUTO,KEN,"Municipal Stadium, Kitami (JPN)",06 JUL 2024,1109,5000m
1196,13:28.18,Hisaya HANAOKA,JPN,"Municipal Stadium, Hiroshima (JPN)",29 APR 2024,1108,5000m
1197,13:28.23,David MULLARKEY,GBR,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1157,5000m
1198,13:28.29,Itta TAMEIKE,JPN,"Aoba Park Athletic Field, Chitose (JPN)",20 JUL 2024,1108,5000m
1199,13:28.37,Musio SAIDAMU,KEN,"Nishishina Athletic Stadium, Nobeoka (JPN)",04 MAY 2024,1108,5000m
1200,13:28.40,Yacine GUERMALI,USA,"National Stadium, Tokyo (JPN)",19 MAY 2024,1108,5000m
1201,13:28.44,Marco LANGON,USA,"Cougar Athletic Stadium, Azusa, CA (USA)",12 APR 2024,1108,5000m
1202,13:28.50,Isaac Kibet NDIEMA,KEN,"Ishin Me-Life Stadium, Yamaguchi (JPN)",23 SEP 2024,1107,5000m
1203,13:28.58,Samuel Simba CHEROP,UGA,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",22 MAY 2024,1107,5000m
1204,13:28.67,Taishi ITO,JPN,"Municipal Stadium, Hiroshima (JPN)",29 APR 2024,1107,5000m
1205,13:28.67,Baptiste GUYON,FRA,"Stadion De Veen, Heusden-Zolder (BEL)",15 JUN 2024,1107,5000m
1206,13:28.75,Dennis MUTUKU,KEN,"Athletic Track, Abashiri (JPN)",10 JUL 2024,1106,5000m
1207,13:28.81,Toby GILLEN,AUS,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1155,5000m
1208,13:28.89,Joey NOKES,USA,"Cougar Athletic Stadium, Azusa, CA (USA)",12 APR 2024,1106,5000m
1209,13:29.18,David Shungeya NEIYIAI,KEN,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",01 JUN 2024,1105,5000m
1210,13:29.19,Hazuma HATTORI,JPN,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",01 JUN 2024,1105,5000m
1211,13:29.20,Hagos EYOB,ETH,"Boudewijnstadion, Bruxelles (BEL)",25 MAY 2024,1105,5000m
1212,13:29.26,Abdullahi Dahir RABI,NOR,"Boudewijnstadion, Bruxelles (BEL)",25 MAY 2024,1105,5000m
1213,13:29.29,Shouya YONEI,JPN,"Egao Kenko Stadium, Kumamoto (JPN)",13 APR 2024,1105,5000m
1214,13:29.32,Victor Kipruto TOGOM,KEN,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",29 SEP 2024,1104,5000m
1215,13:29.35,Nganga Joseph WAWERU,KEN,"Egao Kenko Stadium, Kumamoto (JPN)",13 APR 2024,1104,5000m
1216,13:29.37,Shu HASEGAWA,JPN,"Municipal Stadium, Hiroshima (JPN)",29 APR 2024,1104,5000m
1217,13:29.47,Daniel ARCE,ESP,"Estadio Iberoamericano, Huelva (ESP)",30 APR 2024,1104,5000m
1218,13:29.49,Kirami Collin YEGO,KEN,"Cougar Athletic Stadium, Azusa, CA (USA)",12 APR 2024,1104,5000m
1219,13:29.52,Zachary FACIONI,AUS,"Nishishina Athletic Stadium, Nobeoka (JPN)",04 MAY 2024,1104,5000m
1220,13:29.54,Rory LEONARD,GBR,"Millennium Arena, Battersea Park, London (GBR)",26 APR 2024,1104,5000m
1221,13:29.56,Asahi KURODA,JPN,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",01 JUN 2024,1104,5000m
1222,13:29.61,Shadrack KIPCHIRCHIR,KEN,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",01 JUN 2024,1103,5000m
1223,13:29.63,Ellis CROSS,GBR,"Parc des Sports, Maisons-Laffitte (FRA)",06 JUL 2024,1103,5000m
1224,13:29.78,Florian LE PALLEC,FRA,"Cougar Athletic Stadium, Azusa, CA (USA)",12 APR 2024,1103,5000m
1225,13:29.79,Hillary BOR,USA,"Sportcity Regional Arena, Manchester (GBR)",25 MAY 2024,1103,5000m
1226,13:29.80,James KIMEU,KEN,"Egao Kenko Stadium, Kumamoto (JPN)",13 APR 2024,1103,5000m
1227,13:29.87,Jerry MOTSAU,RSA,"Stadion De Veen, Heusden-Zolder (BEL)",15 JUN 2024,1103,5000m
1228,13:29.88,Shunya KIKUCHI,JPN,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",01 JUN 2024,1103,5000m
1229,13:29.89,Axel Vang CHRISTENSEN,DEN,"Boudewijnstadion, Bruxelles (BEL)",25 MAY 2024,1102,5000m
1230,13:29.90,Kiseki SHIOZAWA,JPN,"Denka Big Swan Stadium, Niigata (JPN)",28 JUN 2024,1102,5000m
1231,13:30.04,Mustafe MUUSE,FIN,"Stadion De Veen, Heusden-Zolder (BEL)",15 JUN 2024,1102,5000m
1232,13:30.08,Takashi ICHIDA,JPN,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",01 JUN 2024,1102,5000m
1233,13:30.09,Stephen MUTHINI,KEN,"Egao Kenko Stadium, Kumamoto (JPN)",13 APR 2024,1102,5000m
1234,13:30.12,Desire NIYOMWUNGERE,BDI,"Polisportivo Guido Maccan, Brugnera (ITA)",13 JUL 2024,1102,5000m
1235,13:30.17,Amos Kipkemboi BETT,KEN,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",01 JUN 2024,1101,5000m
1236,13:30.19,Tomonori YAMAGUCHI,JPN,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",01 JUN 2024,1101,5000m
1237,13:30.25,Andrew BUTCHART,GBR,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1150,5000m
1238,13:30.27,Birhane MENGISTU,ETH,"Atletiekbaan Brakkenstein, Nijmegen (NED)",18 MAY 2024,1101,5000m
1239,13:30.30,Reishi YOSHIDA,JPN,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",01 JUN 2024,1101,5000m
1240,13:30.37,Cole SPROUT,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1149,5000m
1241,13:30.56,Jonathan Muia NDIKU,KEN,"Nishishina Athletic Stadium, Nobeoka (JPN)",04 MAY 2024,1100,5000m
1242,13:30.62,Akira AKASAKI,JPN,"Egao Kenko Stadium, Kumamoto (JPN)",13 APR 2024,1100,5000m
1243,13:30.65,Futsum ZIENASELLASSIE,USA,"Lincoln HS, Portland, OR (USA)",09 JUN 2024,1100,5000m
1244,13:30.67,James CORRIGAN,USA,"Dempsey Indoor, Seattle, WA (USA)",09 FEB 2024,1100,5000m
1245,13:30.68,Ryan FORD,USA,"Cougar Athletic Stadium, Azusa, CA (USA)",12 APR 2024,1100,5000m
1246,13:30.73,Ben PERRIN,USA,"Cougar Athletic Stadium, Azusa, CA (USA)",12 APR 2024,1100,5000m
1247,26:31.01,Yomif KEJELCHA,ETH,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",14 JUN 2024,1273,10000m
1248,26:31.13,Berihu AREGAWI,ETH,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",14 JUN 2024,1273,10000m
1249,26:34.93,Selemon BAREGA,ETH,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",14 JUN 2024,1267,10000m
1250,26:37.93,Biniam MEHARY,ETH,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",14 JUN 2024,1262,10000m
1251,26:42.65,Gemechu DIDA,ETH,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",14 JUN 2024,1254,10000m
1252,26:43.14,Joshua CHEPTEGEI,UGA,"Stade de France, Paris (FRA)",02 AUG 2024,1253,10000m
1253,26:43.46,Grant FISHER,USA,"Stade de France, Paris (FRA)",02 AUG 2024,1253,10000m
1254,26:43.79,Mohammed AHMED,CAN,"Stade de France, Paris (FRA)",02 AUG 2024,1252,10000m
1255,26:43.98,Benard KIBET,KEN,"Stade de France, Paris (FRA)",02 AUG 2024,1252,10000m
1256,26:46.39,Jacob KIPLIMO,UGA,"Stade de France, Paris (FRA)",02 AUG 2024,1248,10000m
1257,26:46.80,Tadese WORKU,ETH,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",14 JUN 2024,1247,10000m
1258,26:49.49,Thierry NDIKUMWENAYO,ESP,"Stade de France, Paris (FRA)",02 AUG 2024,1243,10000m
1259,26:50.64,Adriaan WILDSCHUTT,RSA,"Stade de France, Paris (FRA)",02 AUG 2024,1241,10000m
1260,26:50.81,Daniel MATEIKO,KEN,"Hayward Field, Eugene, OR (USA)",25 MAY 2024,1241,10000m
1261,26:50.94,Nicholas KIPKORIR,KEN,"Hayward Field, Eugene, OR (USA)",25 MAY 2024,1241,10000m
1262,26:51.54,Edwin KURGAT,KEN,"Hayward Field, Eugene, OR (USA)",25 MAY 2024,1240,10000m
1263,26:52.72,Nico YOUNG,USA,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",16 MAR 2024,1238,10000m
1264,26:52.87,Andreas ALMGREN,SWE,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",16 MAR 2024,1238,10000m
1265,26:53.84,Habtom SAMUEL,ERI,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",16 MAR 2024,1236,10000m
1266,26:55.09,Benson KIPLANGAT,KEN,"Hayward Field, Eugene, OR (USA)",25 MAY 2024,1234,10000m
1267,26:55.51,Merhawi MEBRAHTU,ERI,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",14 JUN 2024,1233,10000m
1268,26:57.57,William KINCAID,USA,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",16 MAR 2024,1230,10000m
1269,26:58.67,Jimmy GRESSIER,FRA,"Stade de France, Paris (FRA)",02 AUG 2024,1228,10000m
1270,26:58.97,Kibiwott KANDIE,KEN,"Hayward Field, Eugene, OR (USA)",25 MAY 2024,1228,10000m
1271,27:07.37,Stanley Waithaka MBURU,KEN,"Hayward Field, Eugene, OR (USA)",25 MAY 2024,1214,10000m
1272,27:07.97,Isaac KIMELI,BEL,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",16 MAR 2024,1213,10000m
1273,27:08.81,Patrick DEVER,GBR,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",16 MAR 2024,1212,10000m
1274,27:08.94,Anthony ROTICH,USA,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",16 MAR 2024,1212,10000m
1275,27:09.29,Joe KLECKER,USA,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",16 MAR 2024,1211,10000m
1276,27:09.57,Jack RAYNER,AUS,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",16 MAR 2024,1211,10000m
1277,27:09.74,Aron KIFLE,ERI,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",14 JUN 2024,1211,10000m
1278,27:12.89,Hagos GEBRHIWET,ETH,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",14 JUN 2024,1206,10000m
1279,27:17.28,Abdihamid NUR,USA,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",16 MAR 2024,1199,10000m
1280,27:17.46,Jun KASAI,JPN,"Prefectural Shizuoka Stadium, Fukuroi (JPN)",03 MAY 2024,1198,10000m
1281,27:20.05,Shadrack KIPKEMEI,KEN,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",27 APR 2024,1194,10000m
1282,27:20.93,Benjamin FLANAGAN,CAN,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",16 MAR 2024,1193,10000m
1283,27:20.94,Tomoki OTA,JPN,"Prefectural Shizuoka Stadium, Fukuroi (JPN)",03 MAY 2024,1193,10000m
1284,27:21.52,Kazuma MAEDA,JPN,"Prefectural Shizuoka Stadium, Fukuroi (JPN)",03 MAY 2024,1192,10000m
1285,27:22.32,Richard ETIR,KEN,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",28 SEP 2024,1191,10000m
1286,27:22.38,Mohamed ISMAIL,DJI,"Parliament Hill Fields Athletics Track, London (GBR)",18 MAY 2024,1191,10000m
1287,27:23.09,James Mwanzia MUTUKU,KEN,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",27 APR 2024,1189,10000m
1288,27:23.52,Richard YATOR,KEN,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",27 APR 2024,1189,10000m
1289,27:24.33,Daniel Simiu EBENYO,KEN,"Hayward Field, Eugene, OR (USA)",25 MAY 2024,1187,10000m
1290,27:26.02,Luis GRIJALVA,GUA,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",16 MAR 2024,1185,10000m
1291,27:26.18,Boki DIRIBA,ETH,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",14 JUN 2024,1185,10000m
1292,27:26.67,Mebuki SUZUKI,JPN,"Prefectural Shizuoka Stadium, Fukuroi (JPN)",03 MAY 2024,1184,10000m
1293,27:27.11,Felix BOUR,FRA,"Parliament Hill Fields Athletics Track, London (GBR)",18 MAY 2024,1183,10000m
1294,27:27.50,Gideon Kipkertich RONO,KEN,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",27 APR 2024,1182,10000m
1295,27:27.77,Kibet KANDIE,KEN,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",27 APR 2024,1182,10000m
1296,27:30.72,Emmanuel Moi MARU,KEN,"Prefectural Shizuoka Stadium, Fukuroi (JPN)",03 MAY 2024,1177,10000m
1297,27:30.94,Birhanu BALEW,BRN,"Stade de France, Paris (FRA)",02 AUG 2024,1177,10000m
1298,27:32.29,Athanas KIOKO,KEN,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",16 MAR 2024,1175,10000m
1299,27:33.58,Charles HICKS,GBR,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",16 MAR 2024,1173,10000m
1300,27:34.04,Paul CHELIMO,USA,"Parliament Hill Fields Athletics Track, London (GBR)",18 MAY 2024,1172,10000m
1301,27:34.30,Tadesse GETAHON,ISR,"Parliament Hill Fields Athletics Track, London (GBR)",18 MAY 2024,1172,10000m
1302,27:34.53,Akira AIZAWA,JPN,"Prefectural Shizuoka Stadium, Fukuroi (JPN)",03 MAY 2024,1171,10000m
1303,27:34.66,Keita SATOH,JPN,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",16 MAR 2024,1171,10000m
1304,27:35.05,Kotaro SHINOHARA,JPN,"Prefectural Shizuoka Stadium, Fukuroi (JPN)",03 MAY 2024,1171,10000m
1305,27:35.92,Jamal Abdelmaji EISA MOHAMMED,EOR,"Stade de France, Paris (FRA)",02 AUG 2024,1169,10000m
1306,27:36.23,Abdessamad OUKHELFEN,ESP,"Parliament Hill Fields Athletics Track, London (GBR)",18 MAY 2024,1169,10000m
1307,27:36.29,Dominic Lokinyomo LOBALU,SUI,"Berufsschulzentrum, Interlaken (SUI)",04 MAY 2024,1169,10000m
1308,27:37.68,Francis ABONG,KEN,"Hayward Field, Eugene, OR (USA)",25 MAY 2024,1166,10000m
1309,27:38.39,Rory LEONARD,GBR,"Parliament Hill Fields Athletics Track, London (GBR)",18 MAY 2024,1165,10000m
1310,27:38.87,Andrew HUNTER,USA,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",16 MAR 2024,1165,10000m
1311,27:40.02,Efrem GIDEY,IRL,"Parliament Hill Fields Athletics Track, London (GBR)",18 MAY 2024,1163,10000m
1312,27:40.80,Ryan FORD,USA,"Parliament Hill Fields Athletics Track, London (GBR)",18 MAY 2024,1162,10000m
1313,27:41.11,David Shungeya NEIYIAI,KEN,"National Stadium, Tokyo (JPN)",09 MAY 2024,1161,10000m
1314,27:41.20,Anthony KIBE,KEN,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",01 JUN 2024,1161,10000m
1315,27:41.22,Kelvin KIPLAGAT,KEN,"Hoshigadai Stadium, Tajimi (JPN)",05 OCT 2024,1161,10000m
1316,27:41.37,Valentin GONDOUIN,FRA,"Parliament Hill Fields Athletics Track, London (GBR)",18 MAY 2024,1161,10000m
