provider,external_account_id,athlete_id,provider_display_name,match_method,match_status,source_file,source_row_number
strava,23911697,de9ba600-8654-42e6-98a5-f533a19ff740,Yassin Bouih,metadata_external_id,resolved,cleaned_athlete_metadata.csv,449
strava,23984087,c977b959-5173-469c-97f7-eb235a8c3f7d,Alessandro Lotta,metadata_external_id,resolved,cleaned_athlete_metadata.csv,15
strava,24166694,a26cd901-5799-452c-bec2-a158cd7caa1c,Daniel Simmons,metadata_external_id,resolved,cleaned_athlete_metadata.csv,100
strava,24304109,612bdb18-b3e5-4139-9a62-73f547577806,Pedro Gomez,metadata_external_id,resolved,cleaned_athlete_metadata.csv,337
strava,24359631,a082af64-eae6-4b45-a500-606fb949760d,Matthew Beaudet,metadata_external_id,resolved,cleaned_athlete_metadata.csv,292
strava,24382931,4d3afb1b-a23d-462a-9c89-1e5831c31507,Jacob Boutera,metadata_external_id,resolved,cleaned_athlete_metadata.csv,184
strava,24411013,9d7abeca-4c5e-4725-a301-5bfcc65de26c,Ryan Elston,metadata_external_id,resolved,cleaned_athlete_metadata.csv,366
strava,2461878,df40493d-3e3a-4038-8a20-e28d59ceb34c,Mark Pearce,metadata_external_id,resolved,cleaned_athlete_metadata.csv,288
strava,24660297,2c5ee0ee-cea7-47e9-8b9a-74cc271171eb,Brian Fay,metadata_external_id,resolved,cleaned_athlete_metadata.csv,56
strava,24687367,01c4af2b-2d7e-40c2-9d19-dbb6fe0f2749,Tim McInerney,metadata_external_id,resolved,cleaned_athlete_metadata.csv,425
strava,24725900,65782ab3-052e-4ebf-b83b-8c150c45c79e,Will Barnicoat,metadata_external_id,resolved,cleaned_athlete_metadata.csv,445
strava,24985070,73adec1f-1bb0-4888-8afa-673adb0a1526,Harry Wakefield,metadata_external_id,resolved,cleaned_athlete_metadata.csv,157
strava,25124025,ec46c8c5-a9b2-4da3-9542-48fd22816227,Georgia bell,metadata_external_id,resolved,cleaned_athlete_metadata.csv,146
strava,25213063,7ef344e4-39d8-4fb5-aa23-affe39bd03ca,Emil Blomberg,metadata_external_id,resolved,cleaned_athlete_metadata.csv,119
strava,25386511,8bba4ec2-3bf3-4e4d-bcea-3066efc54cf5,Carlee Hansen,metadata_external_id,resolved,cleaned_athlete_metadata.csv,69
strava,25504823,6affd353-e374-4d5c-996c-1e7acd5ff562,Luc Le Baron,metadata_external_id,resolved,cleaned_athlete_metadata.csv,265
strava,25760238,76a1c939-803b-4f8b-8821-15f9dbf11102,Peter Lynch,metadata_external_id,resolved,cleaned_athlete_metadata.csv,339
strava,25871837,dc098b75-e19d-4805-9151-9594428a7d67,Nathan MARTIN,metadata_external_id,resolved,cleaned_athlete_metadata.csv,315
strava,26009876,a63c5911-916f-4d26-9eb3-9b620a93994f,Levente Szemerei,metadata_external_id,resolved,cleaned_athlete_metadata.csv,259
strava,26028112,797abac8-441d-4695-b65f-27085b9794c0,Fearghal Curtin,metadata_external_id,resolved,cleaned_athlete_metadata.csv,134
strava,26047857,27ecf49d-51d2-438c-90d0-e54c5b3cd93e,Rebecca Mehra,metadata_external_id,resolved,cleaned_athlete_metadata.csv,346
strava,26104963,04a5492b-e096-4bce-9d0d-4826d61b063f,Olivier Desmeules,metadata_external_id,resolved,cleaned_athlete_metadata.csv,330
strava,26188193,153242b7-39c1-4c80-bb28-76634aaf978d,Mykola Nyzhnyk,metadata_external_id,resolved,cleaned_athlete_metadata.csv,311
strava,26514282,253d7ac5-e7cd-449d-9df7-f707deaf0b79,Jude Thomas,metadata_external_id,resolved,cleaned_athlete_metadata.csv,223
strava,26597694,d5d0951c-e702-40e6-b0cc-061494fcbb70,kieran tuntivate,metadata_external_id,resolved,cleaned_athlete_metadata.csv,243
strava,26662661,69b0f36f-c038-4276-9ca7-b4ddafb8d385,Lucas Bons,metadata_external_id,resolved,cleaned_athlete_metadata.csv,267
strava,26712504,929ac84c-5597-45f8-86af-c3abfc7bb361,Aaron Ahl,metadata_external_id,resolved,cleaned_athlete_metadata.csv,2
strava,26743149,6148674d-d46c-446a-b357-d8d615ecd32d,Cameron Levins,metadata_external_id,resolved,cleaned_athlete_metadata.csv,65
strava,26837949,d3dfca42-b525-4ae2-8dae-84f330fbf366,Zach Panning,metadata_external_id,resolved,cleaned_athlete_metadata.csv,457
strava,26841392,b679f0fd-98cc-4c32-81cb-f96f3acead87,Olin Hacker,metadata_external_id,resolved,cleaned_athlete_metadata.csv,327
strava,26886165,404995c6-3898-4e22-b112-1ecec6f593ca,Kristel van den Berg,metadata_external_id,resolved,cleaned_athlete_metadata.csv,246
strava,2688671,0a47f3b2-e8b3-4aa8-b1e3-db73875d2fb9,Duncan Hamilton,metadata_external_id,resolved,cleaned_athlete_metadata.csv,111
strava,26914590,86f29d0b-25f2-4240-9f4e-52b526382bcc,Sarah Healy,metadata_external_id,resolved,cleaned_athlete_metadata.csv,384
strava,26948702,398af9c6-2d62-4815-beab-6403be424d91,Ben Perrin,metadata_external_id,resolved,cleaned_athlete_metadata.csv,44
strava,26985879,2e0df6dc-9ae8-4fe1-84c0-ddd5b88e6d88,Shane Bracken,metadata_external_id,resolved,cleaned_athlete_metadata.csv,396
strava,26990912,f785b1c7-3144-4fd9-a173-a5f11d4a8332,Jennifer Gulikers,metadata_external_id,resolved,cleaned_athlete_metadata.csv,197
strava,27064583,406265dc-b734-4f07-a56e-7f8725818cfb,Sydney Steely,metadata_external_id,resolved,cleaned_athlete_metadata.csv,415
strava,27102390,7b5c50d1-a0a3-441e-b8a0-8d4798c8d80f,Ahmed Ouhda,metadata_external_id,resolved,cleaned_athlete_metadata.csv,11
strava,27198009,208ebeea-ad17-4b30-b4d2-b765bd82ccc9,Hugo Houyez,metadata_external_id,resolved,cleaned_athlete_metadata.csv,168
strava,27457755,56a5840a-b4cb-45d4-bb9d-1768ba3fa48c,Joanna Archer,metadata_external_id,resolved,cleaned_athlete_metadata.csv,202
strava,2770994,e92d3736-d6b3-4a40-afcf-16771b382c82,Koen Naert,metadata_external_id,resolved,cleaned_athlete_metadata.csv,245
strava,27711874,e7214d87-0309-4568-bcb9-b31844db13f0,Lisa Rooms,metadata_external_id,resolved,cleaned_athlete_metadata.csv,262
strava,27786043,7ba40c64-12a1-4b4c-9d28-b79c24a3ad31,Parul Chaudhary,metadata_external_id,resolved,cleaned_athlete_metadata.csv,334
strava,28079951,ec440ffe-23f8-46a8-8d8a-f1658b7ba553,ISHMAEL ARTHUR,metadata_external_id,resolved,cleaned_athlete_metadata.csv,175
strava,28193745,710842b5-ddef-4ba0-a3f7-4c6bdc66b18f,Tanner Maier,metadata_external_id,resolved,cleaned_athlete_metadata.csv,419
strava,2827104,3302a25f-4eaf-4ca7-b62e-527fa3c7f7c6,Jack Rowe,metadata_external_id,resolved,cleaned_athlete_metadata.csv,181
strava,28540939,581405da-163e-41d3-a2b1-823f441c5af1,Pieter Sisk,metadata_external_id,resolved,cleaned_athlete_metadata.csv,341
strava,28572286,be7ebe3e-8c86-40df-b66c-e0e38c74689b,Andrew Butchart,metadata_external_id,resolved,cleaned_athlete_metadata.csv,23
strava,28707348,3ccaa9ea-4ca2-4ccb-a32f-f06da6aad918,Sean Donoghue,metadata_external_id,resolved,cleaned_athlete_metadata.csv,393
strava,2911356,e0d18683-9c53-4bb9-b2fd-b61aab8d607c,James Hansen,metadata_external_id,resolved,cleaned_athlete_metadata.csv,187
strava,29184441,a1b9b40e-f1a4-423b-ae0f-03b6e9738374,Samuel Chapple,metadata_external_id,resolved,cleaned_athlete_metadata.csv,380
strava,29372219,f80742ad-0797-4dfd-baf2-d460b4e85807,Min Liu,metadata_external_id,resolved,cleaned_athlete_metadata.csv,306
strava,29394594,2288a304-839c-411d-9887-1ab0a802b41d,Abdurrahman Gediklioğlu,metadata_external_id,resolved,cleaned_athlete_metadata.csv,5
strava,2966441,5792df8c-5eb6-4441-b45f-837cb327ae9f,Nicolas Navarro,metadata_external_id,resolved,cleaned_athlete_metadata.csv,319
strava,29862838,55a687f8-0dae-4fd4-8f60-28af023720ba,Svetlana Aplachkina,metadata_external_id,resolved,cleaned_athlete_metadata.csv,414
strava,2988843,38282f0b-23e8-4c42-9d25-f1bff6d443c8,James Preston,metadata_external_id,resolved,cleaned_athlete_metadata.csv,189
strava,29900318,61816423-2eb3-40c4-a26b-05cf19716eaa,Niels Laros,metadata_external_id,resolved,cleaned_athlete_metadata.csv,320
strava,29901048,70ec4141-7a46-4723-957d-98b9c3bfc926,Anne Luijten,metadata_external_id,resolved,cleaned_athlete_metadata.csv,30
strava,30197343,40219bf6-54ce-44aa-b39b-1f443643a360,Mekdes WOLDU,metadata_external_id,resolved,cleaned_athlete_metadata.csv,298
strava,30804228,91d8279c-6c79-44e5-86b9-2a361de88c3f,Ryan Ford,metadata_external_id,resolved,cleaned_athlete_metadata.csv,367
strava,30928604,0dc335ea-467a-46e1-b7df-50c8164803e6,Dan Kibet,metadata_external_id,resolved,cleaned_athlete_metadata.csv,97
strava,31259127,9dee826b-7301-4672-91f3-357c10fe1fde,Craig Engels,metadata_external_id,resolved,cleaned_athlete_metadata.csv,93
strava,31658147,b395c3b3-e4ac-4048-b731-00f0c3aff017,Silas Too,metadata_external_id,resolved,cleaned_athlete_metadata.csv,403
strava,32294430,1345b6c9-1b7a-4673-9fa2-8df36b5ab8d7,Shogo Nakamura,metadata_external_id,resolved,cleaned_athlete_metadata.csv,400
