Serial,Athlete ID,Athlete Name,Activity ID,Activity Name,Description,Start Date,Elapsed Time,Type,Location,Pace (min/mi),Pace (min/km),Time (min),Distance (km),Activity Time (s),Time
151577,60508941,Boniface Kibiwott,13117133806,Afternoon Run,nan,2024-12-14 15:25:28+00:00,1276,Run,"Sion, Switzerland",0.0,4.865196078431373,19.85,4.08,1191.0,19 m 51 s
151663,60508941,Boniface Kibiwott,13117133806,Afternoon Run,nan,2024-12-14 15:25:28+00:00,1276,Run,"Sion, Switzerland",0.0,4.865196078431373,19.85,4.08,1191.0,19 m 51 s
151749,79030752,Jack Salisbury,13117596549,Evening Workout,nan,2024-12-15 01:15:15+00:00,2119,Workout,nan,0.0,0.0,0.0,35.0,0.0,437 Cal
153111,73659831,Evan Jenkins,13117678230,Afternoon Run,nan,2024-12-14 22:48:04+00:00,1787,Run,"Seattle, USA",0.0,4.472049689440993,28.8,6.44,1728.0,28 m 48 s
152083,68238567,Takashi Soma,13117771592,ランチタイム ランニング,nan,2024-12-15 02:11:26+00:00,3643,Run,"Nasushiobara, Japan",0.0,6.288598574821853,52.95,8.42,3177.0,52 m 57 s
152104,68238567,Takashi Soma,13117771592,ランチタイム ランニング,nan,2024-12-15 02:11:26+00:00,3643,Run,"Nasushiobara, Japan",0.0,6.288598574821853,52.95,8.42,3177.0,52 m 57 s
153613,82013388,Logan Measner,13117836443,Evening Run,nan,2024-12-15 02:09:50+00:00,2859,Run,nan,0.0,3.7914818101153505,42.73,11.27,2563.7999999999997,42 m 44 s
152598,81785282,Nico Boketta,13118412258,Morning Run,nan,2024-12-15 07:23:34+00:00,3099,Run,"Tlokwe Local Municipality, RSA",0.0,5.1530000000000005,51.53,10.0,3091.8,51 m 32 s
152634,81785282,Nico Boketta,13118412258,Morning Run,nan,2024-12-15 07:23:34+00:00,3099,Run,"Tlokwe Local Municipality, RSA",0.0,5.1530000000000005,51.53,10.0,3091.8,51 m 32 s
152082,68238567,Takashi Soma,13118600821,午後のランニング,nan,2024-12-15 08:35:34+00:00,1451,Run,"Takanezawa, Japan",0.0,6.078313253012048,20.18,3.32,1210.8,20 m 11 s
