Unnamed: 0,Mark,Competitor,Nat,Location,Date,Results Score,Discipline,Gender,Date_Created,Athlete ID,Number of Runs,Number of Bike Rides,Profile Visibility,2024 Weeks Scraped
449.0,3:35.60,Ethan STRAND,USA,"Morris Williams T&F Stadium, Durham, NC (USA)",12 APR 2024,1166,1500m,M,30 Oct 24,43861626.0,2055.0,15.0,Private,
82.0,1:45.25,Tumo NKAPE,BOT,"University of the Western Cape, Cape Town (RSA)",29 APR 2024,1166,800m,M,30 Oct 24,,,,,
2140.0,2:09:40,Tim VINCENT,AUS,Frankfurt (GER),27 OCT 2024,1166,Full,M,30 Oct 24,41839883.0,1533.0,7.0,Public,45.0
290.0,1:47.12,Jack ANSTEY,AUS,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",23 FEB 2024,1166,800m,M,30 Oct 24,30262081.0,2294.0,1.0,Public,45.0
2139.0,2:09:40,Peiyou FENG,CHN,Osaka (JPN),25 FEB 2024,1166,Full,M,30 Oct 24,,,,,
451.0,3:35.62,Kazuto IIZAWA,JPN,"Tokai University Stadium, Hiratsuka (JPN)",08 JUN 2024,1166,1500m,M,30 Oct 24,136770335.0,0.0,0.0,Private,
450.0,3:35.60,Pol MOYA,AND,"Parc des Sports C. Ehrmann, Nice (FRA)",15 JUN 2024,1166,1500m,M,30 Oct 24,69288416.0,0.0,638.0,Public,45.0
452.0,3:35.63,Abdihamid NUR,USA,"Jack Kemp Stadium, Los Angeles, CA (USA)",04 MAY 2024,1166,1500m,M,30 Oct 24,44007546.0,106.0,0.0,Public,45.0
401.0,4:05.00,Flomena ASEKOL,KEN,"Jack Kemp Stadium, Los Angeles, CA (USA)",20 JUL 2024,1166,1500m,F,30 Oct 24,,,,,
1648.0,2:26:39,Maor TIYOURI,ISR,Rotterdam (NED),14 APR 2024,1166,Full,F,30 Oct 24,60723715.0,66.0,5.0,Public,45.0
2138.0,2:09:39,Madoka TANIHARA,JPN,Osaka (JPN),25 FEB 2024,1166,Full,M,30 Oct 24,,,,,
,27:38,Muktar EDRIS,ETH,"Adi-Dassler-Straße 1, Herzogenaurach (GER)",27 APR 2024,1166,10k Road,M,15 Jan 25,94659051.0,,,Public,0.0
,2:24:46,Susana SANTOS,POR,Valencia (ESP),01 DEC 2024,1166,Full,F,15 Jan 25,12188709.0,2.0,146.0,Public,0.0
,14:58.59,Maurine Jepkoech CHEBOR,KEN,"LAZ Wien, Wien (AUT)",22 JUN 2024,1166,5000m,F,15 Jan 25,,,,,
1647.0,2:26:38,Tereza HROCHOVÁ,CZE,Sevilla (ESP),18 FEB 2024,1166,Full,F,30 Oct 24,62867073.0,0.0,0.0,Public,45.0
1308.0,27:37.68,Francis ABONG,KEN,"Hayward Field, Eugene, OR (USA)",25 MAY 2024,1166,10000m,M,30 Oct 24,134485810.0,0.0,0.0,Public,45.0
,27:38.28,Tomoya OGIKUBO,JPN,"Kamiyugi Park Athletic Stadium, Hachioji (JPN)",23 NOV 2024,1166,10000m,M,15 Jan 25,,,,,
1650.0,2:26:41,Vivian JEROTICH,KEN,Eindhoven (NED),13 OCT 2024,1166,Full,F,30 Oct 24,,,,,
1649.0,2:26:40,Pauline Chemning KORIKWIANG,KEN,Wuhan (CHN),24 MAR 2024,1166,Full,F,30 Oct 24,,,,,
1551.0,1:00:30,Razini LEMETEKI,KEN,Marugame (JPN),04 FEB 2024,1166,Half,M,30 Oct 24,,,,,
81.0,1:45.23,Heithem CHENITEF,ALG,"Stade d'Athlétisme Hautepierre, Strasbourg (FRA)",08 JUN 2024,1166,800m,M,30 Oct 24,,,,,
669.0,3:39.32,Samuel ZELEKE,ETH,"The Track at New Balance, Boston, MA (USA) (i)",04 FEB 2024,1166,1500m,M,30 Oct 24,101937417.0,0.0,0.0,Public,45.0
453.0,3:35.63,Wes PORTER,USA,"Lincoln HS, Portland, OR (USA)",09 JUN 2024,1166,1500m,M,30 Oct 24,53065644.0,2194.0,2.0,Private,
,27:38,Amos Kipkurui LANGAT,KEN,Brasov (ROU),22 SEP 2024,1166,10k Road,M,15 Jan 25,,,,,
89.0,1:45.29,Navasky ANDERSON,JAM,"Jack Kemp Stadium, Los Angeles, CA (USA)",11 MAY 2024,1165,800m,M,30 Oct 24,129824029.0,0.0,0.0,Public,45.0
86.0,1:45.27,Ebrahim ALZOFAIRI,KUW,"Sportcentrum Wembley, Kortrijk (BEL)",13 JUL 2024,1165,800m,M,30 Oct 24,,,,,
1651.0,2:26:42,Zhanna MAMAZHANOVA,KAZ,Rotterdam (NED),14 APR 2024,1165,Full,F,30 Oct 24,20307324.0,2221.0,27.0,Public,45.0
,2:08:05,Vincent KIGEN,KEN,Málaga (ESP),15 DEC 2024,1165,Full,M,15 Jan 25,106705842.0,,,Public,0.0
85.0,1:45.27,Alex BOTTERILL,GBR,"Estadio Vallehermoso, Madrid (ESP)",21 JUN 2024,1165,800m,M,30 Oct 24,5681255.0,2020.0,42.0,Private,
