Unnamed: 0,Mark,Competitor,Nat,Location,Date,Results Score,Discipline,Gender,Performance_ID,Date_Created
325,3:53.22,Birke HAYLOM,ETH,"Egret Stadium, Xiamen (CHN)",20 APR 2024,1261,1500m,F,Birke HAYLOM_1500m_3:53.22_20 APR 2024,30 Oct 24
0,1:54.61,Keely HODGKINSON,GBR,"Olympic Stadium, London (GBR)",20 JUL 2024,1261,800m,F,Keely HODGKINSON_800m_1:54.61_20 JUL 2024,30 Oct 24
1477,2:17:25,Hawi FEYSA,ETH,Frankfurt (GER),27 OCT 2024,1260,Full,F,Hawi FEYSA_Full_2:17:25_27 OCT 2024,30 Oct 24
326,3:53.37,Laura MUIR,GBR,"Stade de France, Paris (FRA)",10 AUG 2024,1259,1500m,F,Laura MUIR_1500m_3:53.37_10 AUG 2024,30 Oct 24
1062,29:47.71,Fotyen TESFAY,ETH,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",14 JUN 2024,1259,10000m,F,Fotyen TESFAY_10000m_29:47.71_14 JUN 2024,30 Oct 24
1862,2:04:15,Kenenisa BEKELE,ETH,London (GBR),21 APR 2024,1258,Full,M,Kenenisa BEKELE_Full_2:04:15_21 APR 2024,30 Oct 24
1063,29:48.34,Tsigie GEBRESELAMA,ETH,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",16 MAR 2024,1258,10000m,F,Tsigie GEBRESELAMA_10000m_29:48.34_16 MAR 2024,30 Oct 24
8,1:42.27,Ben PATTISON,GBR,"Stade Louis II, Monaco (MON)",12 JUL 2024,1258,800m,M,Ben PATTISON_800m_1:42.27_12 JUL 2024,30 Oct 24
1863,2:04:18,Vincent Kipkemoi NGETICH,KEN,Tokyo (JPN),03 MAR 2024,1257,Full,M,Vincent Kipkemoi NGETICH_Full_2:04:18_03 MAR 2024,30 Oct 24
641,8:55.15,Faith CHEROTICH,KEN,"Stade de France, Paris (FRA)",06 AUG 2024,1257,3000m Steeple,F,Faith CHEROTICH_3000m Steeple_8:55.15_06 AUG 2024,30 Oct 24
334,3:56.47,Hirut MESHESHA,ETH,"Arena, Toruń (POL) (i)",06 FEB 2024,1257,1500m,F,Hirut MESHESHA_1500m_3:56.47_06 FEB 2024,30 Oct 24
1064,29:50.52,Ejgayehu TAYE,ETH,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",14 JUN 2024,1256,10000m,F,Ejgayehu TAYE_10000m_29:50.52_14 JUN 2024,30 Oct 24
1487,58:17,Daniel MATEIKO,KEN,Valencia (ESP),27 OCT 2024,1256,Half,M,Daniel MATEIKO_Half_58:17_27 OCT 2024,30 Oct 24
642,8:55.40,Beatrice CHEPKOECH,KEN,"Egret Stadium, Xiamen (CHN)",20 APR 2024,1256,3000m Steeple,F,Beatrice CHEPKOECH_3000m Steeple_8:55.40_20 APR 2024,30 Oct 24
1864,2:04:24,Bernard Kiprop KOECH,KEN,Hamburg (GER),28 APR 2024,1255,Full,M,Bernard Kiprop KOECH_Full_2:04:24_28 APR 2024,30 Oct 24
986,13:02.09,Yared NUGUSE,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1255,5000m,M,Yared NUGUSE_5000m_13:02.09_26 JAN 2024,30 Oct 24
1478,2:17:51,Irine Chepet CHEPTAI,KEN,"Chicago, IL (USA)",13 OCT 2024,1255,Full,F,Irine Chepet CHEPTAI_Full_2:17:51_13 OCT 2024,30 Oct 24
955,12:48.10,Thierry NDIKUMWENAYO,ESP,"Bislett Stadion, Oslo (NOR)",30 MAY 2024,1254,5000m,M,Thierry NDIKUMWENAYO_5000m_12:48.10_30 MAY 2024,30 Oct 24
1251,26:42.65,Gemechu DIDA,ETH,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",14 JUN 2024,1254,10000m,M,Gemechu DIDA_10000m_26:42.65_14 JUN 2024,30 Oct 24
1252,26:43.14,Joshua CHEPTEGEI,UGA,"Stade de France, Paris (FRA)",02 AUG 2024,1253,10000m,M,Joshua CHEPTEGEI_10000m_26:43.14_02 AUG 2024,30 Oct 24
1479,2:18:05,Sifan HASSAN,NED,Tokyo (JPN),03 MAR 2024,1253,Full,F,Sifan HASSAN_Full_2:18:05_03 MAR 2024,30 Oct 24
1253,26:43.46,Grant FISHER,USA,"Stade de France, Paris (FRA)",02 AUG 2024,1253,10000m,M,Grant FISHER_10000m_26:43.46_02 AUG 2024,30 Oct 24
352,3:29.45,Hobbs KESSLER,USA,"Stade de France, Paris (FRA)",06 AUG 2024,1253,1500m,M,Hobbs KESSLER_1500m_3:29.45_06 AUG 2024,30 Oct 24
9,1:42.43,Eliott CRESTAN,BEL,"Stade Charléty, Paris (FRA)",07 JUL 2024,1253,800m,M,Eliott CRESTAN_800m_1:42.43_07 JUL 2024,30 Oct 24
327,3:54.16,Freweyni HAILU,ETH,"Stadio Olimpico, Roma (ITA)",30 AUG 2024,1253,1500m,F,Freweyni HAILU_1500m_3:54.16_30 AUG 2024,30 Oct 24
1480,2:18:09,Ruti AGA,ETH,Dubai (UAE),07 JAN 2024,1252,Full,F,Ruti AGA_Full_2:18:09_07 JAN 2024,30 Oct 24
1865,2:04:35,Hailemaryam KIROS,ETH,Berlin (GER),29 SEP 2024,1252,Full,M,Hailemaryam KIROS_Full_2:04:35_29 SEP 2024,30 Oct 24
1254,26:43.79,Mohammed AHMED,CAN,"Stade de France, Paris (FRA)",02 AUG 2024,1252,10000m,M,Mohammed AHMED_10000m_26:43.79_02 AUG 2024,30 Oct 24
1255,26:43.98,Benard KIBET,KEN,"Stade de France, Paris (FRA)",02 AUG 2024,1252,10000m,M,Benard KIBET_10000m_26:43.98_02 AUG 2024,30 Oct 24
