Unnamed: 0,Mark,Competitor,Nat,Location,Date,Results Score,Discipline,Gender,Performance_ID,Date_Created
1304,1:09:03,Sayaka SATO,JPN,Copenhagen (DEN),15 SEP 2024,1149,Half,F,Sayaka SATO_Half_1:09:03_15 SEP 2024,30 Oct 24
2213,2:10:39,Tristan WOODFINE,CAN,"Houston, TX (USA)",14 JAN 2024,1149,Full,M,Tristan WOODFINE_Full_2:10:39_14 JAN 2024,30 Oct 24
441,4:07.16,Hannah NUTTALL,GBR,"Market Street Athletics Track, Bury (GBR)",10 AUG 2024,1149,1500m,F,Hannah NUTTALL_1500m_4:07.16_10 AUG 2024,30 Oct 24
1076,13:16.85,Bastien AUGUSTO,FRA,"Cougar Athletic Stadium, Azusa, CA (USA)",12 APR 2024,1149,5000m,M,Bastien AUGUSTO_5000m_13:16.85_12 APR 2024,30 Oct 24
853,8:23.89,Sebastián MARTOS,ESP,"Polideportivo Zorrotza, Bilbao (ESP)",18 JUN 2024,1149,3000m Steeple,M,Sebastián MARTOS_3000m Steeple_8:23.89_18 JUN 2024,30 Oct 24
854,8:24.02,Etson BARROS,POR,"Polideportivo Zorrotza, Bilbao (ESP)",18 JUN 2024,1149,3000m Steeple,M,Etson BARROS_3000m Steeple_8:24.02_18 JUN 2024,30 Oct 24
137,1:45.81,Malik SKUPIN-ALFA,GER,"Heinz-Steyer-Stadion, Dresden (GER)",30 AUG 2024,1149,800m,M,Malik SKUPIN-ALFA_800m_1:45.81_30 AUG 2024,30 Oct 24
2218,2:10:42,Koki YOSHIOKA,JPN,Osaka (JPN),25 FEB 2024,1149,Full,M,Koki YOSHIOKA_Full_2:10:42_25 FEB 2024,30 Oct 24
106,2:00.75,Meghan HUNTER,USA,"Lincoln HS, Portland, OR (USA)",09 JUN 2024,1149,800m,F,Meghan HUNTER_800m_2:00.75_09 JUN 2024,30 Oct 24
2219,2:10:42,Bernard MUIA,KEN,Wien (AUT),21 APR 2024,1149,Full,M,Bernard MUIA_Full_2:10:42_21 APR 2024,30 Oct 24
2214,2:10:39,Pedro GOMEZ,ARG,Sevilla (ESP),18 FEB 2024,1149,Full,M,Pedro GOMEZ_Full_2:10:39_18 FEB 2024,30 Oct 24
2217,2:10:41,Kosei MACHIDA,JPN,Osaka (JPN),25 FEB 2024,1149,Full,M,Kosei MACHIDA_Full_2:10:41_25 FEB 2024,30 Oct 24
2216,2:10:40,Daisuke HOSOMORI,JPN,Osaka (JPN),25 FEB 2024,1149,Full,M,Daisuke HOSOMORI_Full_2:10:40_25 FEB 2024,30 Oct 24
138,1:45.82,Leonardo SANTOS,BRA,"Pista de Atletismo da Universidade Federal do Mato Grosso, Cuiaba (BRA)",15 MAY 2024,1149,800m,M,Leonardo SANTOS_800m_1:45.82_15 MAY 2024,30 Oct 24
1602,1:00:56,Amanal PETROS,GER,Lisboa (POR),17 MAR 2024,1149,Half,M,Amanal PETROS_Half_1:00:56_17 MAR 2024,30 Oct 24
898,15:07.38,Amy-Eloise NEALE,GBR,"Jack Kemp Stadium, Los Angeles, CA (USA)",11 MAY 2024,1149,5000m,F,Amy-Eloise NEALE_5000m_15:07.38_11 MAY 2024,30 Oct 24
1074,13:16.76,Nagiya MORI,JPN,"Denka Big Swan Stadium, Niigata (JPN)",28 JUN 2024,1149,5000m,M,Nagiya MORI_5000m_13:16.76_28 JUN 2024,30 Oct 24
2215,2:10:39,Johannes MOTSCHMANN,GER,London (GBR),21 APR 2024,1149,Full,M,Johannes MOTSCHMANN_Full_2:10:39_21 APR 2024,30 Oct 24
1073,13:16.76,Ali ABDILMANA,ETH,"Stadion De Veen, Heusden-Zolder (BEL)",15 JUN 2024,1149,5000m,M,Ali ABDILMANA_5000m_13:16.76_15 JUN 2024,30 Oct 24
897,15:07.12,Katelyn TUOHY,USA,"Jack Kemp Stadium, Los Angeles, CA (USA)",20 JUL 2024,1149,5000m,F,Katelyn TUOHY_5000m_15:07.12_20 JUL 2024,30 Oct 24
105,2:00.73,Flavia Maria DE LIMA,BRA,"Stade de France, Paris (FRA)",02 AUG 2024,1149,800m,F,Flavia Maria DE LIMA_800m_2:00.73_02 AUG 2024,30 Oct 24
1344,27:48.82,Filimon ABRAHAM,GER,"Parliament Hill Fields Athletics Track, London (GBR)",18 MAY 2024,1149,10000m,M,Filimon ABRAHAM_10000m_27:48.82_18 MAY 2024,30 Oct 24
514,3:36.84,Charlie O'DONOVAN,IRL,"Tooting Bec Athletics Track, London (GBR)",24 JUL 2024,1149,1500m,M,Charlie O'DONOVAN_1500m_3:36.84_24 JUL 2024,30 Oct 24
439,4:07.12,Sam BUSH,USA,"Jack Kemp Stadium, Los Angeles, CA (USA)",20 JUL 2024,1149,1500m,F,Sam BUSH_1500m_4:07.12_20 JUL 2024,30 Oct 24
440,4:07.15,Lindsey BUTLER,USA,"Hayward Field, Eugene, OR (USA)",27 JUN 2024,1149,1500m,F,Lindsey BUTLER_1500m_4:07.15_27 JUN 2024,30 Oct 24
1070,13:16.65,Kieran TUNTIVATE,THA,"Østerbro Stadium, Copenhagen (DEN)",03 SEP 2024,1149,5000m,M,Kieran TUNTIVATE_5000m_13:16.65_03 SEP 2024,30 Oct 24
517,3:36.88,Marc TORTELL,GER,"Wieslaw Maniak Municipal Athletic Stadium, Szczecin (POL)",28 AUG 2024,1149,1500m,M,Marc TORTELL_1500m_3:36.88_28 AUG 2024,30 Oct 24
515,3:36.85,Abdellatif SADIKI,MAR,"Campo di Atletica, Asti (ITA)",23 MAY 2024,1149,1500m,M,Abdellatif SADIKI_1500m_3:36.85_23 MAY 2024,30 Oct 24
516,3:36.87,Adrián BEN,ESP,"Carl-Kaufmann-Stadion, Karlsruhe (GER)",11 MAY 2024,1149,1500m,M,Adrián BEN_1500m_3:36.87_11 MAY 2024,30 Oct 24
1072,13:16.70,Donovan CHRISTIEN,FRA,"Boudewijnstadion, Bruxelles (BEL)",25 MAY 2024,1149,5000m,M,Donovan CHRISTIEN_5000m_13:16.70_25 MAY 2024,30 Oct 24
1711,2:28:19,Aydee LOAYZA,PER,Lima (PER),19 MAY 2024,1149,Full,F,Aydee LOAYZA_Full_2:28:19_19 MAY 2024,30 Oct 24
1712,2:28:23,Camille FRENCH,NZL,Nagoya (JPN),10 MAR 2024,1149,Full,F,Camille FRENCH_Full_2:28:23_10 MAR 2024,30 Oct 24
1713,2:28:23,Hasna ZAHI,MAR,Rabat (MAR),21 APR 2024,1149,Full,F,Hasna ZAHI_Full_2:28:23_21 APR 2024,30 Oct 24
1343,27:48.62,Samuel BARATA,POR,"Parliament Hill Fields Athletics Track, London (GBR)",18 MAY 2024,1149,10000m,M,Samuel BARATA_10000m_27:48.62_18 MAY 2024,30 Oct 24
1345,27:49.09,Kazuki TAMURA,JPN,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",16 MAR 2024,1149,10000m,M,Kazuki TAMURA_10000m_27:49.09_16 MAR 2024,30 Oct 24
857,8:24.21,Ryoma AOKI,JPN,"Denka Big Swan Stadium, Niigata (JPN)",27 JUN 2024,1148,3000m Steeple,M,Ryoma AOKI_3000m Steeple_8:24.21_27 JUN 2024,30 Oct 24
518,3:36.90,Oussama CHERRAD,ALG,"Stade d'Athlétisme Hautepierre, Strasbourg (FRA)",08 JUN 2024,1148,1500m,M,Oussama CHERRAD_1500m_3:36.90_08 JUN 2024,30 Oct 24
519,3:36.94,Shane BRACKEN,IRL,"Tooting Bec Athletics Track, London (GBR)",24 JUL 2024,1148,1500m,M,Shane BRACKEN_1500m_3:36.94_24 JUL 2024,30 Oct 24
139,1:45.83,Sean DOLAN,USA,"Villanova University, Villanova, PA (USA)",11 MAY 2024,1148,800m,M,Sean DOLAN_800m_1:45.83_11 MAY 2024,30 Oct 24
140,1:45.85,Tyrice TAYLOR,JAM,"Prince George's Sports and Learning Complex, Landover, MD (USA)",04 JUN 2024,1148,800m,M,Tyrice TAYLOR_800m_1:45.85_04 JUN 2024,30 Oct 24
855,8:24.08,Hailu AYALEW,ETH,"Estadio Atlético de la VIDENA, Lima (PER)",31 AUG 2024,1148,3000m Steeple,M,Hailu AYALEW_3000m Steeple_8:24.08_31 AUG 2024,30 Oct 24
856,8:24.17,Lourenço RODRIGUES,POR,"Polideportivo Zorrotza, Bilbao (ESP)",18 JUN 2024,1148,3000m Steeple,M,Lourenço RODRIGUES_3000m Steeple_8:24.17_18 JUN 2024,30 Oct 24
1715,2:28:24,Cynthia KOSGEI,KEN,Rabat (MAR),21 APR 2024,1148,Full,F,Cynthia KOSGEI_Full_2:28:24_21 APR 2024,30 Oct 24
107,2:00.80,Aniya MOSLEY,USA,"Hayward Field, Eugene, OR (USA)",06 JUN 2024,1148,800m,F,Aniya MOSLEY_800m_2:00.80_06 JUN 2024,30 Oct 24
108,2:00.81,Rin KUBO,JPN,"Hakatanomori Athletic Stadium, Fukuoka (JPN)",31 JUL 2024,1148,800m,F,Rin KUBO_800m_2:00.81_31 JUL 2024,30 Oct 24
2220,2:10:43,Levente SZEMEREI,HUN,Warszawa (POL),29 SEP 2024,1148,Full,M,Levente SZEMEREI_Full_2:10:43_29 SEP 2024,30 Oct 24
2221,2:10:44,Haruto ONO,JPN,Osaka (JPN),25 FEB 2024,1148,Full,M,Haruto ONO_Full_2:10:44_25 FEB 2024,30 Oct 24
2222,2:10:44,Yugo KASHIWA,JPN,Tokyo (JPN),03 MAR 2024,1148,Full,M,Yugo KASHIWA_Full_2:10:44_03 MAR 2024,30 Oct 24
2223,2:10:44,Albert KANGOGO,KEN,Wien (AUT),21 APR 2024,1148,Full,M,Albert KANGOGO_Full_2:10:44_21 APR 2024,30 Oct 24
2224,2:10:45,Thomas DE BOCK,BEL,Eindhoven (NED),13 OCT 2024,1148,Full,M,Thomas DE BOCK_Full_2:10:45_13 OCT 2024,30 Oct 24
2225,2:10:46,Takashi SOMA,JPN,Nobeoka (JPN),11 FEB 2024,1148,Full,M,Takashi SOMA_Full_2:10:46_11 FEB 2024,30 Oct 24
1347,27:49.43,Peter Mwaniki AILA,KEN,"Hayward Field, Eugene, OR (USA)",25 MAY 2024,1148,10000m,M,Peter Mwaniki AILA_10000m_27:49.43_25 MAY 2024,30 Oct 24
1346,27:49.30,Peter LYNCH,IRL,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",16 MAR 2024,1148,10000m,M,Peter LYNCH_10000m_27:49.30_16 MAR 2024,30 Oct 24
1077,13:16.94,Said AMERI,ALG,"Parc des Sports, Maisons-Laffitte (FRA)",06 JUL 2024,1148,5000m,M,Said AMERI_5000m_13:16.94_06 JUL 2024,30 Oct 24
1078,13:17.08,Jackson SHARP,AUS,"Drake Stadium, Los Angeles, CA (USA)",17 MAY 2024,1148,5000m,M,Jackson SHARP_5000m_13:17.08_17 MAY 2024,30 Oct 24
1079,13:17.08,Adam FOGG,GBR,"Østerbro Stadium, Copenhagen (DEN)",03 SEP 2024,1148,5000m,M,Adam FOGG_5000m_13:17.08_03 SEP 2024,30 Oct 24
1714,2:28:24,Giovanna EPIS,ITA,Nagoya (JPN),10 MAR 2024,1148,Full,F,Giovanna EPIS_Full_2:28:24_10 MAR 2024,30 Oct 24
442,4:07.19,Jennifer RANDALL,USA,"Hayward Field, Eugene, OR (USA)",27 JUN 2024,1148,1500m,F,Jennifer RANDALL_1500m_4:07.19_27 JUN 2024,30 Oct 24
1719,2:28:29,Gete DUKALE,ETH,Dublin (IRL),27 OCT 2024,1148,Full,F,Gete DUKALE_Full_2:28:29_27 OCT 2024,30 Oct 24
1605,1:00:58,Sota FUKUTANI,JPN,"Ishin Me-Life Stadium, Yamaguchi (JPN)",11 FEB 2024,1148,Half,M,Sota FUKUTANI_Half_1:00:58_11 FEB 2024,30 Oct 24
1123,31:50.41,Annet Chemengich CHELANGAT,UGA,"Stade de France, Paris (FRA)",09 AUG 2024,1148,10000m,F,Annet Chemengich CHELANGAT_10000m_31:50.41_09 AUG 2024,30 Oct 24
1718,2:28:29,Fatiha BENCHATKI,MAR,Marrakech (MAR),28 JAN 2024,1148,Full,F,Fatiha BENCHATKI_Full_2:28:29_28 JAN 2024,30 Oct 24
1717,2:28:28,Rie KAWAUCHI,JPN,Osaka (JPN),28 JAN 2024,1148,Full,F,Rie KAWAUCHI_Full_2:28:28_28 JAN 2024,30 Oct 24
1716,2:28:28,Nurit SHIMELS,ETH,Dubai (UAE),07 JAN 2024,1148,Full,F,Nurit SHIMELS_Full_2:28:28_07 JAN 2024,30 Oct 24
1603,1:00:57,Shunya KIKUCHI,JPN,"Ishin Me-Life Stadium, Yamaguchi (JPN)",11 FEB 2024,1148,Half,M,Shunya KIKUCHI_Half_1:00:57_11 FEB 2024,30 Oct 24
1604,1:00:57,Hicham OULADHA,MAR,"Sale, Rabat (MAR)",21 APR 2024,1148,Half,M,Hicham OULADHA_Half_1:00:57_21 APR 2024,30 Oct 24
2226,2:10:47,Takanori OGATA,JPN,Oita (JPN),04 FEB 2024,1147,Full,M,Takanori OGATA_Full_2:10:47_04 FEB 2024,30 Oct 24
712,9:38.71,Tuğba GÜVENÇ,TUR,"The TF Complex at Mylan Park, Morgantown, WV (USA)",27 APR 2024,1147,3000m Steeple,F,Tuğba GÜVENÇ_3000m Steeple_9:38.71_27 APR 2024,30 Oct 24
2231,2:10:49,Felix Kipchirchir KANDIE,KEN,Gold Coast (AUS),07 JUL 2024,1147,Full,M,Felix Kipchirchir KANDIE_Full_2:10:49_07 JUL 2024,30 Oct 24
1722,2:28:34,Vanessa WILSON,AUS,Berlin (GER),29 SEP 2024,1147,Full,F,Vanessa WILSON_Full_2:28:34_29 SEP 2024,30 Oct 24
2227,2:10:47,Matthew RICHTMAN,USA,"St. Paul, Minneapolis, MN (USA)",06 OCT 2024,1147,Full,M,Matthew RICHTMAN_Full_2:10:47_06 OCT 2024,30 Oct 24
110,2:00.86,Sarah HEALY,IRL,"Sportcity Regional Arena, Manchester (GBR)",25 MAY 2024,1147,800m,F,Sarah HEALY_800m_2:00.86_25 MAY 2024,30 Oct 24
111,2:00.86,Wilma NIELSEN,SWE,"Stadio Olimpico, Roma (ITA)",11 JUN 2024,1147,800m,F,Wilma NIELSEN_800m_2:00.86_11 JUN 2024,30 Oct 24
112,2:00.87,Sadi HENDERSON,USA,"Kentner Stadium Wake Forest University, Winston Salem, NC (USA)",19 APR 2024,1147,800m,F,Sadi HENDERSON_800m_2:00.87_19 APR 2024,30 Oct 24
1348,27:49.86,Takashi ICHIDA,JPN,"Prefectural Shizuoka Stadium, Fukuroi (JPN)",03 MAY 2024,1147,10000m,M,Takashi ICHIDA_10000m_27:49.86_03 MAY 2024,30 Oct 24
2228,2:10:48,Silas MUTURI,KEN,Seoul (KOR),17 MAR 2024,1147,Full,M,Silas MUTURI_Full_2:10:48_17 MAR 2024,30 Oct 24
2229,2:10:48,Barnaba KIPKOECH,KEN,Rotterdam (NED),14 APR 2024,1147,Full,M,Barnaba KIPKOECH_Full_2:10:48_14 APR 2024,30 Oct 24
2230,2:10:49,Jorge BLANCO,ESP,Sevilla (ESP),18 FEB 2024,1147,Full,M,Jorge BLANCO_Full_2:10:49_18 FEB 2024,30 Oct 24
109,2:00.84,Berdine CASTILLO,CHI,"Pista de Atletismo da Universidade Federal do Mato Grosso, Cuiaba (BRA)",11 MAY 2024,1147,800m,F,Berdine CASTILLO_800m_2:00.84_11 MAY 2024,30 Oct 24
1723,2:28:35,Majida MAAYOUF,ESP,"Stade de France, Paris (FRA)",11 AUG 2024,1147,Full,F,Majida MAAYOUF_Full_2:28:35_11 AUG 2024,30 Oct 24
1311,1:09:10,Irene SÁNCHEZ-ESCRIBANO,ESP,Valencia (ESP),27 OCT 2024,1147,Half,F,Irene SÁNCHEZ-ESCRIBANO_Half_1:09:10_27 OCT 2024,30 Oct 24
1310,1:09:10,Ruth JEBET,BRN,Istanbul (TUR),28 APR 2024,1147,Half,F,Ruth JEBET_Half_1:09:10_28 APR 2024,30 Oct 24
1309,1:09:10,Eunice Chebichii CHUMBA,BRN,Gifu (JPN),28 APR 2024,1147,Half,F,Eunice Chebichii CHUMBA_Half_1:09:10_28 APR 2024,30 Oct 24
1308,1:09:10,Abbie DONNELLY,GBR,Barcelona (ESP),11 FEB 2024,1147,Half,F,Abbie DONNELLY_Half_1:09:10_11 FEB 2024,30 Oct 24
1307,1:09:10,Erika KEMP,USA,"Houston, TX (USA)",14 JAN 2024,1147,Half,F,Erika KEMP_Half_1:09:10_14 JAN 2024,30 Oct 24
1306,1:09:09,Isobel BATT-DOYLE,AUS,"Cricket Ground, Melbourne (AUS)",13 OCT 2024,1147,Half,F,Isobel BATT-DOYLE_Half_1:09:09_13 OCT 2024,30 Oct 24
447,4:07.43,Olivia MARKEZICH,USA,"Sports Park Mladost, Zagreb (CRO)",08 SEP 2024,1147,1500m,F,Olivia MARKEZICH_1500m_4:07.43_08 SEP 2024,30 Oct 24
446,4:07.33,Maudie SKYRING,AUS,"Athletics Stadium, Setagaya, Tokyo (JPN)",27 JUL 2024,1147,1500m,F,Maudie SKYRING_1500m_4:07.33_27 JUL 2024,30 Oct 24
445,4:07.33,Annie RODENFELS,USA,"Emerson Field, Concord, MA (USA)",08 JUN 2024,1147,1500m,F,Annie RODENFELS_1500m_4:07.33_08 JUN 2024,30 Oct 24
1080,13:17.22,Matthew RAMSDEN,AUS,"Lakeside Stadium, Melbourne (AUS)",15 FEB 2024,1147,5000m,M,Matthew RAMSDEN_5000m_13:17.22_15 FEB 2024,30 Oct 24
1721,2:28:34,Caroline Cheptanui KILEL,KEN,Wuhan (CHN),24 MAR 2024,1147,Full,F,Caroline Cheptanui KILEL_Full_2:28:34_24 MAR 2024,30 Oct 24
141,1:45.86,Rivaldo MARSHALL,JAM,"Univ. of Arizona Roy P. Drachman Stadium, Tucson, AZ (USA)",06 APR 2024,1147,800m,M,Rivaldo MARSHALL_800m_1:45.86_06 APR 2024,30 Oct 24
444,4:07.33,Alex TEUBEL,USA,"Drake Stadium, Los Angeles, CA (USA)",17 MAY 2024,1147,1500m,F,Alex TEUBEL_1500m_4:07.33_17 MAY 2024,30 Oct 24
143,1:45.87,Jordan TERRASSE,FRA,"Stade Pierre Duboeuf, Bron (FRA)",04 JUL 2024,1147,800m,M,Jordan TERRASSE_800m_1:45.87_04 JUL 2024,30 Oct 24
900,15:08.08,Pauline KAMULU,KEN,"Nishishina Athletic Stadium, Nobeoka (JPN)",04 MAY 2024,1147,5000m,F,Pauline KAMULU_5000m_15:08.08_04 MAY 2024,30 Oct 24
1607,1:00:59,Shadrack KIPKEMEI,KEN,"Showa Park, Tachikawa (JPN)",19 OCT 2024,1147,Half,M,Shadrack KIPKEMEI_Half_1:00:59_19 OCT 2024,30 Oct 24
1606,1:00:59,Valentin GONDOUIN,FRA,Lille (FRA),17 MAR 2024,1147,Half,M,Valentin GONDOUIN_Half_1:00:59_17 MAR 2024,30 Oct 24
207,2:02.39,Lindsey BUTLER,USA,"The Track at New Balance, Boston, MA (USA) (i)",09 MAR 2024,1147,800m,F,Lindsey BUTLER_800m_2:02.39_09 MAR 2024,30 Oct 24
1720,2:28:30,Kellen WAITHIRA,KEN,Rabat (MAR),21 APR 2024,1147,Full,F,Kellen WAITHIRA_Full_2:28:30_21 APR 2024,30 Oct 24
859,8:24.38,Alejandro QUIJADA,ESP,"Estadio Iberoamericano, Huelva (ESP)",30 APR 2024,1147,3000m Steeple,M,Alejandro QUIJADA_3000m Steeple_8:24.38_30 APR 2024,30 Oct 24
858,8:24.37,Kevin ROBERTSON,CAN,"Market Street Athletics Track, Bury (GBR)",10 AUG 2024,1147,3000m Steeple,M,Kevin ROBERTSON_3000m Steeple_8:24.37_10 AUG 2024,30 Oct 24
1125,31:51.27,Sayaka SATO,JPN,"Athletic Track, Abashiri (JPN)",10 JUL 2024,1147,10000m,F,Sayaka SATO_10000m_31:51.27_10 JUL 2024,30 Oct 24
142,1:45.86,Abedin MUJEZINOVIĆ,BIH,"Campo di Atletica, Asti (ITA)",23 MAY 2024,1147,800m,M,Abedin MUJEZINOVIĆ_800m_1:45.86_23 MAY 2024,30 Oct 24
520,3:37.01,Jude THOMAS,AUS,"Friidrettsstadion, Jessheim (NOR)",24 MAY 2024,1147,1500m,M,Jude THOMAS_1500m_3:37.01_24 MAY 2024,30 Oct 24
144,1:45.87,Joseph DENG,AUS,"Stade de France, Paris (FRA)",07 AUG 2024,1147,800m,M,Joseph DENG_800m_1:45.87_07 AUG 2024,30 Oct 24
1124,31:51.20,Tabithanjeri KAMAU,KEN,"Athletic Track, Abashiri (JPN)",10 JUL 2024,1147,10000m,F,Tabithanjeri KAMAU_10000m_31:51.20_10 JUL 2024,30 Oct 24
2243,2:10:53,Dawit WOLDE,ETH,"Chicago, IL (USA)",13 OCT 2024,1146,Full,M,Dawit WOLDE_Full_2:10:53_13 OCT 2024,30 Oct 24
2239,2:10:52,Collins KEMBOI,KEN,Münster (GER),08 SEP 2024,1146,Full,M,Collins KEMBOI_Full_2:10:52_08 SEP 2024,30 Oct 24
114,2:00.92,Victoria BOSSONG,USA,"Percy Beard Track, Gainesville, FL (USA)",30 MAR 2024,1146,800m,F,Victoria BOSSONG_800m_2:00.92_30 MAR 2024,30 Oct 24
115,2:00.92,Louise SHANAHAN,IRL,"Morton Stadium, Santry, Dublin (IRL)",12 JUL 2024,1146,800m,F,Louise SHANAHAN_800m_2:00.92_12 JUL 2024,30 Oct 24
2240,2:10:53,Cameron AVERY,NZL,Wien (AUT),21 APR 2024,1146,Full,M,Cameron AVERY_Full_2:10:53_21 APR 2024,30 Oct 24
147,1:45.91,Amel TUKA,BIH,"Estadio Vallehermoso, Madrid (ESP)",21 JUN 2024,1146,800m,M,Amel TUKA_800m_1:45.91_21 JUN 2024,30 Oct 24
1608,1:01:01,Daisuke HOSOMORI,JPN,"Ishin Me-Life Stadium, Yamaguchi (JPN)",11 FEB 2024,1146,Half,M,Daisuke HOSOMORI_Half_1:01:01_11 FEB 2024,30 Oct 24
2241,2:10:53,Abdelaziz MERZOUGUI,ESP,Enschede (NED),21 APR 2024,1146,Full,M,Abdelaziz MERZOUGUI_Full_2:10:53_21 APR 2024,30 Oct 24
2242,2:10:53,Mohcin OUTALHA,MAR,Rabat (MAR),21 APR 2024,1146,Full,M,Mohcin OUTALHA_Full_2:10:53_21 APR 2024,30 Oct 24
2232,2:10:50,Shunya KIKUCHI,JPN,Tokyo (JPN),03 MAR 2024,1146,Full,M,Shunya KIKUCHI_Full_2:10:50_03 MAR 2024,30 Oct 24
2237,2:10:52,Ryu TAKAKU,JPN,Osaka (JPN),25 FEB 2024,1146,Full,M,Ryu TAKAKU_Full_2:10:52_25 FEB 2024,30 Oct 24
2244,2:10:53,Hillary KIPSAMBU,KEN,Dublin (IRL),27 OCT 2024,1146,Full,M,Hillary KIPSAMBU_Full_2:10:53_27 OCT 2024,30 Oct 24
448,4:07.44,Jolanda KALLABIS,GER,"Bungertstadion, Rehlingen (GER)",19 MAY 2024,1146,1500m,F,Jolanda KALLABIS_1500m_4:07.44_19 MAY 2024,30 Oct 24
901,15:08.64,Tinebeb ASRES,ETH,"Parc des Sports, Maisons-Laffitte (FRA)",06 JUL 2024,1146,5000m,F,Tinebeb ASRES_5000m_15:08.64_06 JUL 2024,30 Oct 24
1612,1:01:01,Rhonzas Lokitam KILIMO,KEN,Tallinn (EST),07 SEP 2024,1146,Half,M,Rhonzas Lokitam KILIMO_Half_1:01:01_07 SEP 2024,30 Oct 24
1611,1:01:01,Victor KIPTOO,KEN,Mainz (GER),05 MAY 2024,1146,Half,M,Victor KIPTOO_Half_1:01:01_05 MAY 2024,30 Oct 24
1081,13:17.61,Emmanuel Korir KIPLAGAT,KEN,"Nishishina Athletic Stadium, Nobeoka (JPN)",04 MAY 2024,1146,5000m,M,Emmanuel Korir KIPLAGAT_5000m_13:17.61_04 MAY 2024,30 Oct 24
1082,13:17.65,Gideon Kibichi RONOH,KEN,"Nishishina Athletic Stadium, Nobeoka (JPN)",04 MAY 2024,1146,5000m,M,Gideon Kibichi RONOH_5000m_13:17.65_04 MAY 2024,30 Oct 24
2238,2:10:52,Leonard BARSOTON,KEN,Wien (AUT),21 APR 2024,1146,Full,M,Leonard BARSOTON_Full_2:10:52_21 APR 2024,30 Oct 24
113,2:00.89,Agnès RAHAROLAHY,FRA,"Stade Jean Jacoby, Schifflange (LUX)",21 JUL 2024,1146,800m,F,Agnès RAHAROLAHY_800m_2:00.89_21 JUL 2024,30 Oct 24
2233,2:10:50,Dadi Yami GEMEDA,ETH,Rabat (MAR),21 APR 2024,1146,Full,M,Dadi Yami GEMEDA_Full_2:10:50_21 APR 2024,30 Oct 24
146,1:45.89,Patryk SIERADZKI,POL,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",20 JUN 2024,1146,800m,M,Patryk SIERADZKI_800m_1:45.89_20 JUN 2024,30 Oct 24
2234,2:10:50,Yakoub LABQUIRA,MAR,Košice (SVK),06 OCT 2024,1146,Full,M,Yakoub LABQUIRA_Full_2:10:50_06 OCT 2024,30 Oct 24
2235,2:10:51,Leonard LANGAT,KEN,Wuhan (CHN),24 MAR 2024,1146,Full,M,Leonard LANGAT_Full_2:10:51_24 MAR 2024,30 Oct 24
1610,1:01:01,Benson NZIOKI,KEN,Mainz (GER),05 MAY 2024,1146,Half,M,Benson NZIOKI_Half_1:01:01_05 MAY 2024,30 Oct 24
713,9:38.94,Ruken TEK,TUR,"LAZ Wien, Wien (AUT)",22 JUN 2024,1146,3000m Steeple,F,Ruken TEK_3000m Steeple_9:38.94_22 JUN 2024,30 Oct 24
861,8:24.58,Jaouad HSSINI,ESP,"Polideportivo Zorrotza, Bilbao (ESP)",18 JUN 2024,1146,3000m Steeple,M,Jaouad HSSINI_3000m Steeple_8:24.58_18 JUN 2024,30 Oct 24
862,8:24.68,Daichi SHIBATA,JPN,"Denka Big Swan Stadium, Niigata (JPN)",27 JUN 2024,1146,3000m Steeple,M,Daichi SHIBATA_3000m Steeple_8:24.68_27 JUN 2024,30 Oct 24
1725,2:28:41,Amy DAVIS-GREEN,USA,"Chicago, IL (USA)",13 OCT 2024,1146,Full,F,Amy DAVIS-GREEN_Full_2:28:41_13 OCT 2024,30 Oct 24
1126,31:52.07,Yuka TAKASHIMA,JPN,"Stade de France, Paris (FRA)",09 AUG 2024,1146,10000m,F,Yuka TAKASHIMA_10000m_31:52.07_09 AUG 2024,30 Oct 24
1127,31:52.19,Erika TANOURA,JPN,"Athletic Track, Abashiri (JPN)",10 JUL 2024,1146,10000m,F,Erika TANOURA_10000m_31:52.19_10 JUL 2024,30 Oct 24
145,1:45.89,Eric HOLT,USA,"Dean A. Hayes Track and Soccer Stadium, Murfreesboro, TN (USA)",01 JUN 2024,1146,800m,M,Eric HOLT_800m_1:45.89_01 JUN 2024,30 Oct 24
521,3:37.11,Jesse FOKKENROOD,NED,"Tooting Bec Athletics Track, London (GBR)",24 JUL 2024,1146,1500m,M,Jesse FOKKENROOD_1500m_3:37.11_24 JUL 2024,30 Oct 24
968,15:20.89,Molly BORN,USA,"The Track at New Balance, Boston, MA (USA) (i)",08 MAR 2024,1146,5000m,F,Molly BORN_5000m_15:20.89_08 MAR 2024,30 Oct 24
1724,2:28:37,Neheng KHATALA,LES,Hamburg (GER),28 APR 2024,1146,Full,F,Neheng KHATALA_Full_2:28:37_28 APR 2024,30 Oct 24
860,8:24.58,Parker STOKES,USA,"Hayward Field, Eugene, OR (USA)",07 JUN 2024,1146,3000m Steeple,M,Parker STOKES_3000m Steeple_8:24.58_07 JUN 2024,30 Oct 24
2236,2:10:51,Shunjin YIN,CHN,Hengshui (CHN),22 SEP 2024,1146,Full,M,Shunjin YIN_Full_2:10:51_22 SEP 2024,30 Oct 24
