Athlete Name,Total_Run_Distance_km,Avg_Weekly_Run_Mileage_km,Total_Run_Hours,Avg_Weekly_Run_Hours,Total_Ride_Hours,Total_Swim_Hours,Total_Other_Hours,Competitor,Nat,Gender,Mark,Discipline,Number_of_events,Avg_Run_Pace_min_per_km,2024 Weeks Scraped,Athlete ID
CARINA VILJOEN,416.09,8.0,42.96,0.83,6.08,0.0,0.0,Carina Viljoen,RSA,Female,4:09.47,1500m,1,6.2,52,13433736
CARLA GALLARDO,4257.4124096,94.60916465777775,320.3222222222222,7.118271604938271,0.0,0.0,0.0,Carla Gallardo,ESP,Female,15:27.70,5000m,1,4.5143226646297725,45,94997060
CARLEE HANSEN,22.06,0.42,1.99,0.04,0.0,0.0,0.0,Carlee Hansen,USA,Female,4:11.02,1500m,1,5.4,52,25386511
CARMEN GRAVES,3838.4,73.82,304.15,5.85,0.0,0.0,0.0,Carmen Graves,USA,Female,9:42.26|15:32.41,3000m Steeple|5000m,2,4.75,52,13603477
CARSON WILLIAMS,3510.4050618,78.00900137333333,249.30277777777775,5.540061728395061,1.0980555555555558,0.0,0.0,Carson Williams,USA,Male,3:38.98|8:27.14,1500m|3000m Steeple,2,4.261094205178902,45,87287379
CARTER FITZGERALD,349.65,6.72,52.79,1.02,0.0,0.0,0.0,Carter Fitzgerald,USA,Male,1:47.25,800m,1,9.06,52,12527724
CASEY COMBER,5095.96,98.0,369.02,7.1,0.75,0.0,0.0,Casey Comber,USA,Male,3:36.35,1500m,1,4.34,52,46880353
CHAMAR CHAMBERS,624.4400134,13.876444742222224,59.36638888888889,1.3192530864197531,0.0,0.0,0.0,Chamar Chambers,PAN,Male,1:45.27,800m,1,5.70428424972123,45,60337129
CHANDLER GIBBENS,5834.97,112.21,386.0,7.42,7.51,0.0,0.0,Chandler Gibbens,USA,Male,28:12.14,10000m,1,3.97,52,35680056
CHARLES PHILIBERT-THIBOUTOT,533.41,10.26,33.44,0.64,0.0,0.0,0.0,Charles Philibert-Thiboutot,CAN,Male,3:33.29|27:54.66,1500m|10000m,2,3.76,52,7327132
CHARLES WHEELER,414.71,7.98,33.16,0.64,206.13,0.0,0.0,Charles Wheeler,GBR,Male,13:20.17|28:04.89,5000m|10000m,2,4.8,52,7677443
CHARLIE SWEENEY,6117.68,117.65,449.59,8.65,0.0,0.0,0.0,Charlie Sweeney,USA,Male,2:12:23,Full,1,4.41,52,22399704
CHARLOTTE PURDUE,646.35,12.43,42.39,0.82,1.53,0.0,0.0,Charlotte Purdue,GBR,Female,1:08:02,Half,1,3.94,52,4483415
CHRISTIAN JACKSON,543.0556896,12.067904213333334,56.17722222222222,1.2483827160493826,18.388055555555557,0.0,0.0,Christian Jackson,USA,Male,1:47.43,800m,1,6.206791306829047,45,81890092
CHRISTIAN NOBLE,463.0,8.9,33.92,0.65,0.0,0.0,0.0,Christian Noble,USA,Male,3:37.84|8:27.75,1500m|3000m Steeple,2,4.4,52,38210378
CHRISTIAN PATZKA,2522.29,48.51,172.44,3.32,0.0,0.0,0.0,Christian Patzka,USA,Male,8:31.89,3000m Steeple,1,4.1,52,46054215
CILLIAN KIRWAN,2628.81,50.55,205.69,3.96,0.2,0.0,0.0,Cillian Kirwan,IRL,Male,1:45.75,800m,1,4.69,52,53067537
CJ SINGLETON,5754.96,110.67,395.4,7.6,0.0,0.0,0.0,Cj Singleton,USA,Male,8:27.46,3000m Steeple,1,4.12,52,49947604
CLAYTON MURPHY,1386.36,26.66,108.14,2.08,0.76,0.0,0.0,Clayton Murphy,USA,Male,1:44.80,800m,1,4.68,52,41072820
CLAYTON YOUNG,4951.34,95.22,341.3,6.56,0.0,0.0,0.0,Clayton Young,USA,Male,2:08:44,Full,1,4.14,52,23295862
COLE SPROUT,5032.39,96.78,330.49,6.36,0.52,0.0,0.0,Cole Sprout,USA,Male,13:30.37|28:17.69,5000m|10000m,2,3.94,52,6296853
COLIN BENNIE,7483.69,143.92,526.53,10.13,0.0,0.0,0.0,Colin Bennie,USA,Male,2:12:17,Full,1,4.22,52,32464862
COLLINS KEMBOI,1297.02,28.822666666666667,104.02222222222224,2.311604938271605,52.07972222222222,0.0,5.653611111111111,Collins Kemboi,KEN,Male,2:10:52,Full,1,4.812056354823622,45,119258265
