Athlete ID,Athlete Name,Consistency Percentage,Standard Deviation,Median-to-Mean Ratio,Max-to-Median Ratio,No Data Count
3449926,Marcelo LAGUERA,93.33333333333333,45.08867800343183,1.111831553083302,1.7209944751381216,6
11837770,Olivia PRATT,93.33333333333333,47.02687412682576,0.9886972040452111,2.070397111913357,6
40483545,Matthew RICHTMAN,93.33333333333333,50.85719966338202,0.9337710260219485,2.5034642032332566,6
1617780,Sam MCENTEE,93.33333333333333,51.78562690146478,1.1635258358662615,1.586206896551724,6
18143228,Matthias KYBURZ,93.33333333333333,56.073815621287665,1.0630270021982349,1.713888888888889,6
24382931,Jacob BOUTERA,93.33333333333333,58.03381724179978,1.2042651055822704,1.4401041666666665,6
25760238,Peter LYNCH,93.33333333333333,58.078464895755864,1.2215367358384743,1.643250688705234,6
51815015,Mehmet ÇELİK,91.11111111111111,13.669145339046777,0.9086918349429325,2.791304347826087,8
19479777,Tiarnan CRORKEN,91.11111111111111,17.935327121584468,1.0368898978433598,2.2512315270935965,8
6448444,Kate GRACE,91.11111111111111,27.157211877275415,0.9471380939149764,1.867986798679868,8
50116782,Isaiah HARRIS,91.11111111111111,28.537278091934027,1.1912922987164527,1.9917355371900827,8
57107380,István SZÖGI,91.11111111111111,33.841961875713736,0.7786956521739131,4.618090452261306,8
91827223,John O'REILLY,91.11111111111111,34.110409482954566,0.9985582649031531,2.2090395480225986,8
48797626,Sarah MADELEINE,91.11111111111111,35.14409724868253,1.0449164168487375,1.9059080962800872,8
9559332,Brandon MILLER,91.11111111111111,50.873951125349386,1.0851682722382083,1.9092088197146562,8
22274135,Ben PREISNER,91.11111111111111,51.14413910840541,1.1168143505511132,1.6589259796806965,8
59060047,Kristina HENDEL,91.11111111111111,51.5384686619056,1.1005115185005414,1.697709923664122,8
58369394,Jerrell MOCK,91.11111111111111,52.30871465537223,1.0268427780144869,2.08298755186722,8
44215632,Sarah SELLERS,91.11111111111111,52.768714232831066,1.055045871559633,1.8862876254180598,8
33598506,Edwin KIBICHIY,91.11111111111111,66.5779805400045,1.0165132647536546,2.2516644474034617,8
9198356,Yuliya POPOVA,90.0,56.582672152159695,0.9020740042422813,2.659699542782495,10
47735255,Stephanie BROKAW,88.88888888888889,21.943703570940464,0.9658302189001601,2.4925373134328357,10
61882404,Lily MURPHY,88.88888888888889,26.64112797957044,0.8299711815561961,4.60625,10
2461878,Mark PEARCE,88.88888888888889,36.1585460374104,0.7001254705144292,4.365591397849462,10
114820846,Ryoji TATEZAWA,88.88888888888889,40.62868785630949,1.0552862570417922,1.7374301675977653,10
33362910,Benjamin ROBERT,88.88888888888889,41.048062953145006,0.9895457822638789,4.321311475409836,10
3875855,Bruno PIERRU,88.88888888888889,42.51083276956725,0.9704016913319239,2.815126050420168,10
34492691,Djilali BEDRANI,88.88888888888889,45.946372742943765,1.085095229774594,1.672101449275362,10
1478217,Jack RAYNER,88.88888888888889,52.57223003436811,1.145119164218087,1.3014967925873127,10
21479529,Jane BAREIKIS,88.88888888888889,55.241176102045,0.9526591270212169,2.2649006622516556,10
31196548,Pernille KARLSEN,88.88888888888889,56.10968254421903,0.7245182555780934,5.6141732283464565,10
105366367,John KORIR,88.88888888888889,67.23329279669015,1.1295918367346938,1.5389082462253196,10
204658,Jonathan DAVIS,88.88888888888889,73.53213116702003,0.7988505747126438,3.7865707434052753,10
18748153,Josh KERR,88.88888888888889,89.51376564850469,0.8229868181673103,3.8324607329842935,10
21547435,Baptiste GUYON,88.88888888888889,104.70542515705834,0.8899531422271223,6.7891986062717775,10
49462685,Kate MITCHELL,86.66666666666667,6.9081877722191125,0.852791878172589,2.982142857142857,12
103535340,Yukichi ISHII,86.66666666666667,22.439983948139734,1.03156146179402,3.4202898550724634,12
16368629,Matthew MCKENNA,86.66666666666667,31.441287382926276,1.189655172413793,1.5190217391304348,12
13151170,Felix BOUR,86.66666666666667,34.36026542469603,1.044841618128142,2.6907216494845363,12
47005372,Berenice CLEYET-MERLE,86.66666666666667,36.8519546080317,1.1512119787819783,1.811023622047244,12
26948702,Ben PERRIN,86.66666666666667,37.295908461919865,1.1375891459384244,1.926605504587156,12
13464267,Ryan SÁNCHEZ,86.66666666666667,38.18392571571734,0.9820061255742726,2.476608187134503,12
55489425,Timo BENITZ,86.66666666666667,44.844276468824326,0.9367624810892586,4.25,12
1861424,Malindi ELMORE,86.66666666666667,50.30792432178621,0.7835203237079271,3.457746478873239,12
27711874,Lisa ROOMS,86.66666666666667,51.76769314960105,1.0112114152591727,3.105831533477323,12
30804228,Ryan FORD,86.66666666666667,59.74194421205015,1.1543931071020272,1.308695652173913,12
18142926,Barnaba KIPKOECH,86.66666666666667,61.16823761230201,1.1978535047295655,1.3211845102505695,12
18803555,Isaac UPDIKE,86.66666666666667,61.843674584910914,1.0395821071218363,2.5668789808917194,12
41804724,Sarah MCDONALD,84.44444444444444,11.429083197343152,0.666767462957363,7.244897959183674,14
58424776,Emily MACKAY,84.44444444444444,11.896578736410303,0.7285342584562012,4.178571428571428,14
70802075,Niko SCHULTZ,84.44444444444444,12.407606420549525,1.0477401682645275,2.26890756302521,14
60155357,Youssef BENZAMIA,84.44444444444444,28.37380876764141,1.0757104795737122,2.3065015479876165,14
123004351,Justin KIPKOECH,84.44444444444444,33.15943649690723,1.0634292021034861,1.848901098901099,14
45789872,Charlie O'DONOVAN,84.44444444444444,43.1819726407248,1.0988708344808595,1.5056390977443608,14
61941233,Elias NGENY,84.44444444444444,43.849882896088296,0.6645640074211503,4.351758793969849,14
23984087,Alessandro LOTTA,84.44444444444444,46.49699707789308,1.2622155911973145,2.726063829787234,14
141766603,Ludovic LE MEUR,84.44444444444444,58.028259835917076,0.6994967191183028,5.659836065573771,14
26028112,Fearghal CURTIN,84.44444444444444,59.177942602842386,1.1217544175982688,2.0632911392405067,14
199092,Lauren HALL,84.44444444444444,97.3176539840197,0.9322033898305085,3.090909090909091,14
35955330,Carlos SAEZ,82.22222222222221,9.188059884678836,0.7767793804681957,6.383561643835617,16
26914590,Sarah HEALY,82.22222222222221,10.460417894452295,0.927710843373494,3.8181818181818175,16
61212790,Pablo SÁNCHEZ,82.22222222222221,10.587503978546858,1.1316568047337279,1.8235294117647056,16
20077578,Morgan MITCHELL,82.22222222222221,20.243053443284392,0.9974004651799152,2.9074074074074074,16
48667720,Awet HABTE,82.22222222222221,28.357699626411836,0.9653544996245845,3.125,16
52304194,Thomas DE BOCK,82.22222222222221,31.76298143428542,1.0360426627436559,2.070287539936102,16
23682243,Corentin LE CLEZIO,82.22222222222221,41.949854318536836,1.0167801960458545,1.9191176470588238,16
131178025,Brian KIPTOO,82.22222222222221,46.68506137854622,1.0914349502740004,2.0125523012552304,16
16817744,Samuel PIHLSTRÖM,82.22222222222221,47.782517523201626,1.0541351235537781,1.839430894308943,16
43012900,El Hocine BOUCHRAK,82.22222222222221,48.36969948616514,1.086750876411997,2.2557603686635948,16
21295355,Sigurd TVEIT,82.22222222222221,48.92880322094387,1.192269728297574,1.8196078431372547,16
107990522,Victor KIPLIMO,82.22222222222221,63.09433366932412,0.8868332411643458,3.1989795918367347,16
6193172,Brett ROBINSON,82.22222222222221,66.15562499859897,1.1726567126959881,1.492822966507177,16
37674562,Peter SMITH,82.22222222222221,111.78623751720211,0.7721170194055226,8.840546697038725,32
66783639,Duncan PERRILLAT,82.22222222222221,124.5968176567762,1.090461582364272,3.029440628066732,16
22542153,Eduardo HERRERA,82.0,127.7345612011586,0.6239558116539943,6.260928961748635,18
117959278,Beatriz ÁLVAREZ,80.0,12.986215068994575,0.8790585566425633,5.387096774193549,20
22362281,Marc SCOTT,80.0,21.402034921296284,0.885943037143982,3.66,18
41072820,Clayton MURPHY,80.0,23.43681494213133,1.025130548302872,2.335243553008596,18
115067841,Lucia PINACCHIO,80.0,23.85434079317682,1.1556151782292066,1.7985074626865671,18
17967435,Aurele VANDEPUTTE,80.0,41.87326066012469,1.173125068030913,1.7035490605427974,18
18934439,Nils VOIGT,80.0,44.27936173756787,0.9307712384183742,3.123028391167192,18
98838651,Enock KIPKEMBOI,80.0,52.48484286077214,1.128279883381924,1.9230769230769234,18
3315425,Andrew HUNTER,80.0,62.38257001572187,0.9311827956989248,3.51270207852194,18
148029050,Mohamed Ali GOUANED,77.77777777777779,20.729895362824713,0.72552783109405,5.535714285714286,20
36047007,Daiki HATTORI,77.77777777777779,28.967971767999156,0.9832615014533427,2.715596330275229,20
132478746,Savannah SHAW,77.77777777777779,41.96847720196297,1.2537268932617767,1.4387633769322237,20
74184450,Alec BASTEN,77.77777777777779,49.980338193060085,1.1604777849967516,1.7868217054263564,20
112056814,Charlotte MOUCHET,77.77777777777779,53.4299529259427,0.8626284478096268,4.235109717868339,20
36042703,Silvia OGGIONI,75.55555555555556,28.01840236075953,1.1369334619093538,2.2099236641221376,22
123289185,Alex PINTADO,75.55555555555556,34.87367437772494,0.6415581499775483,6.244094488188976,22
58262623,Conor MURPHY,75.55555555555556,34.982291591788275,1.192987457240593,1.728494623655914,22
20688835,Kevin VIEZEE,75.55555555555556,43.75406496655778,0.6801195814648728,6.412087912087912,22
133448894,Laura PRIEGO,75.55555555555556,46.00367460761418,1.1673970201577564,1.718918918918919,22
81506583,Victor KIMUTAI,75.55555555555556,46.86184275835042,1.0005945303210464,2.0775401069518717,22
54176296,Sam PARSONS,75.55555555555556,67.23457147192558,1.1270514681254884,1.7667161961367013,22
49179005,Michaela MEYER,73.33333333333333,10.357996422457408,0.7927927927927929,3.772727272727273,24
30928604,Dan KIBET,73.33333333333333,13.412364396122358,0.8735743751516623,4.3125,24
43433221,Nathan MOUNTAIN,73.33333333333333,13.462733249607705,0.7563025210084033,7.314814814814815,24
81785282,Nico BOKETTA,73.33333333333333,18.515760537030854,0.6897463002114165,8.077586206896552,24
120754520,Gladys CHEPNGETICH,73.33333333333333,19.503964230050226,0.8399440037330845,3.2499999999999996,24
12856764,Naoki OTA,73.33333333333333,23.447860067471083,0.7494473102431838,4.15929203539823,24
74623854,Abel TEFFRA,73.33333333333333,45.85391391882389,0.6263786415151745,4.131147540983607,24
107373064,David MULLARKEY,73.33333333333333,61.71324037848726,1.2780771802840174,1.3878116343490303,24
11799655,John GAY,73.33333333333333,67.2718793463105,1.1063265982113282,1.7110778443113772,24
33082169,Noah BALTUS,73.33333333333333,67.97909044204881,1.0250240615976902,3.3018108651911464,24
8483601,Yoann KOWAL,73.33333333333333,74.64979093071967,0.8737017516664083,2.878243512974052,24
13433736,Carina VILJOEN,71.11111111111111,11.313213645300701,0.9406608226567766,5.274193548387098,26
32294430,Shogo NAKAMURA,71.11111111111111,22.538133571742744,0.7135665743770452,2.992063492063492,26
9996058,Alex MELLOY,71.11111111111111,30.281000669594075,1.2233906129776866,2.0188679245283017,26
23384343,Rémi SCHYNS,71.11111111111111,32.63824350381725,0.8095794392523364,4.435064935064935,26
40048824,Morgan PEARSON,71.11111111111111,44.49970184311919,0.4786225779275485,12.81188118811881,26
107895910,Mason COHEN,71.11111111111111,49.38361261292556,0.8896770298822818,4.862595419847328,26
103319230,Hassan CHAHDI,71.11111111111111,54.976871510179194,1.0841070453304205,3.8564231738035266,26
18269729,Federico RIVA,68.88888888888889,24.9938175626405,0.4916010807001057,9.763440860215052,28
113818641,Michael SOMERS,68.88888888888889,32.0559476277572,0.8007300102657693,5.01923076923077,28
44278789,Jordan MACINTOSH,68.88888888888889,48.635151522244996,0.8051229244433004,3.1906474820143886,28
134237562,Tebello RAMAKONGOANA,68.88888888888889,73.56227023013945,1.1407976034450478,1.7725258493353027,28
12527724,Carter FITZGERALD,66.66666666666666,9.54161253330399,0.7502908103916246,6.116279069767443,30
12012236,Kristine Eikrem ENGESET,66.66666666666666,17.80887245327977,0.6332274171584203,7.20967741935484,30
49265326,Dina ALEKSANDROVA,66.66666666666666,68.54858424347864,0.8004566452503584,3.8537313432835822,30
112847410,Allie WILSON,66.0,7.944449558520641,0.6546976241900648,5.773195876288661,34
29372219,Min LIU,64.44444444444444,17.29228172676518,0.7083515522518583,6.0,32
18766100,Callum DAVIES,64.44444444444444,22.147636939570333,0.8528577824205344,3.0314960629921255,32
40310033,Cristhian ZAMORA,64.44444444444444,22.230745024509837,0.8538031509401998,4.133928571428572,32
57348015,Jude WHEELER-DEE,64.44444444444444,22.99074837205374,0.8841917237272998,3.5303030303030303,32
21880851,Eilish MCCOLGAN,64.44444444444444,27.71648743329607,0.6993500988979937,5.300000000000001,32
17615116,Justin KENT,64.44444444444444,34.840788385724814,1.1030019278435692,2.6704119850187267,32
34182540,Heather SEAWARD,64.44444444444444,39.95539383903753,0.4275770633079218,8.965116279069766,32
26355493,Jorge GONZALEZ RIVERA,64.44444444444444,62.75008874850577,1.162532872686021,2.163672654690619,32
25124025,Georgia BELL,62.22222222222222,6.817349099512067,0.7587209302325582,5.482758620689656,34
81890092,Christian JACKSON,62.22222222222222,22.513425731388654,0.7826086956521738,5.596153846153847,34
128956777,Kelvin KIPYEGO,62.22222222222222,33.83441901543988,0.5572963294538944,7.216867469879517,34
99876148,Kendra COLEMAN,62.22222222222222,39.59869380653662,0.38524860059269017,25.692307692307693,34
3943693,Kyle LANGFORD,62.22222222222222,56.40333596085363,0.7348703170028821,6.9321266968325785,34
49440369,Hideyuki TANAKA,60.0,15.280305053617457,0.5301724137931033,10.146341463414634,36
15008982,Yuki TSUTSUMI,60.0,22.516280141505096,0.42474489795918374,14.58108108108108,36
10609301,Lucy REID,60.0,24.81375861753089,0.3389073270359969,14.762711864406779,36
35855647,Robin HENDRIX,60.0,38.23168231374611,0.5679791466593497,11.086956521739133,36
30197343,Mekdes WOLDU,60.0,46.41427592886329,0.3179049939098661,18.413793103448274,36
52417936,Callum ELSON,60.0,51.86444149075351,0.5492497862085051,5.62420382165605,36
24943543,Kartik KUMAR,58.88888888888889,7.353489200525599,0.5912249079421339,6.791805470481338,37
95191578,Andrew CASEY,57.77777777777777,8.436319436990654,0.680314960629921,6.0,38
15697869,Joseph DENG,57.77777777777777,23.228127720782474,0.946650959272972,3.344,38
18819249,Giovanni FILIPPI,57.77777777777777,33.16595430684052,0.16551724137931037,30.249999999999996,38
24411013,Ryan ELSTON,57.77777777777777,36.86548775135968,0.5948275862068966,4.188405797101449,38
23741845,Madeleine KELLY,55.55555555555556,4.495404509437621,0.4306220095693781,9.1,40
84287414,Petro MAMU,55.55555555555556,5.147898543815909,1.1077844311377247,2.459459459459459,40
24687367,Tim MCINERNEY,55.55555555555556,22.541430150161425,0.04182156133828997,119.24999999999999,40
26743149,Cameron LEVINS,55.55555555555556,27.32188721070216,0.638892872508246,5.121212121212122,40
17172793,Raphael PALLITSCH,55.55555555555556,32.56316494467503,0.47282279248333,23.326923076923077,40
8112897,Daniel ARCE,55.55555555555556,52.80799999924349,0.0829397534846216,199.4375,40
60508941,Boniface KIBIWOTT,55.55555555555556,62.73140456453963,0.9052563270603505,3.290322580645161,40
26886165,Kristel VAN DEN BERG,53.333333333333336,12.751465562566796,0.7738317757009344,9.434782608695652,42
26597694,Kieran TUNTIVATE,53.333333333333336,14.494204955433666,0.5113636363636365,12.600000000000001,42
40701290,Simon DEBOGNIES,53.333333333333336,17.617032019371322,0.6909361069836553,6.774193548387098,42
17379874,Julia MAYER,53.333333333333336,19.76362920991971,0.4050109462417904,13.054054054054053,42
13447832,Emma TAVELLA,53.333333333333336,23.468330729779343,0.4085132136372806,11.222222222222223,42
6906691,Austin VANCIL,53.333333333333336,28.716537067773658,0.56282722513089,6.604651162790697,42
10816005,Alexis MIELLET,51.11111111111111,15.631468371793405,0.1220614828209765,36.77777777777778,44
41839883,Tim VINCENT,51.11111111111111,25.499834810953356,0.49723756906077343,14.340000000000002,44
52774592,Luciano FIORE,51.11111111111111,47.49428759119558,0.4343279980696534,6.2749999999999995,44
79030752,Jack SALISBURY,50.0,63.97556372326394,0.17678571428571427,14.939393939393938,90
27457755,Joanna ARCHER,48.888888888888886,4.255944614569363,0.0,inf,46
18196031,Marissa DAMINK,48.888888888888886,13.044747874039887,0.0,inf,46
60077877,Aiden COLES,48.888888888888886,16.960625381103494,0.0,inf,46
4483415,Charlotte PURDUE,48.888888888888886,20.560920715623542,0.0,inf,46
75222533,Patrick KIPROP,48.888888888888886,30.38404344287594,0.0,inf,46
5191761,Ellie PASHLEY,48.888888888888886,56.17672021287203,0.0,inf,46
36474939,Roy HOORNWEG,48.888888888888886,60.542063941426875,0.0,inf,92
38105995,Joey NOKES,48.888888888888886,72.65575860824858,0.0,inf,92
49012071,Jack BALICK,47.77777777777778,51.082512230628176,0.0,inf,94
111183515,Carolina ROBLES,46.666666666666664,10.141580152063806,0.0,inf,48
18055756,Tony VAN DIEPEN,46.666666666666664,17.32930734589117,0.0,inf,48
12983282,Shinichiro NAKAMURA,46.666666666666664,17.62806591589163,0.0,inf,48
15305175,Mateusz BORKOWSKI,46.666666666666664,18.718408962164773,0.0,inf,48
105498989,Emma KELLEY,46.666666666666664,19.783869864103494,0.0,inf,48
2688671,Duncan HAMILTON,46.666666666666664,40.34519813769494,0.0,inf,48
83372861,Kristian Uldbjerg HANSEN,46.666666666666664,83.01344044715333,0.0,inf,48
48092419,Brian KIPTUM,46.0,12.22251606625653,0.0,inf,54
37389921,Jessica KAIN,44.44444444444444,38.53521505989801,0.0,inf,100
58940900,Dillan VAN ROOYEN,44.44444444444444,41.82004152865448,0.0,inf,50
2911356,James HANSEN,44.44444444444444,45.52585205402024,0.0,inf,50
50765671,Shane COHEN,44.44444444444444,48.484736789194756,0.0,inf,100
37868862,Simon MWANGI,42.22222222222222,9.47288896675058,0.0,inf,52
32496631,Ben NAGEL,42.22222222222222,13.575777414412151,0.0,inf,52
60337129,Chamar CHAMBERS,42.22222222222222,18.98293334663331,0.0,inf,52
44196401,Mahadi ABDI ALI,42.22222222222222,20.192012796050925,0.0,inf,52
93170673,Stefan NILLESSEN,42.22222222222222,22.472014116389808,0.0,inf,52
6579855,Tom HENDRIKSE,42.22222222222222,23.361480229484524,0.0,inf,104
46063338,Sultan HAYDAR,42.22222222222222,24.431366425524118,0.0,inf,52
99220051,Athanas KIOKO,42.22222222222222,76.26299228067494,0.0,inf,52
82798069,Jolanda KALLABIS,42.0,45.253289226956596,0.0,inf,58
28572286,Andrew BUTCHART,42.0,70.33718964008048,0.0,inf,58
