Average_Results_Score,Total_Results_Score,Disciplines,Discipline_Count
1135.0,2270,"['10000m', '3000m SC']",2
1135.0,2270,"['HM', 'Marathon']",2
1135.0,2270,"['5000m', '1500m']",2
1135.0,2270,"['HM', 'Marathon']",2
1135.0,2270,"['HM', 'Marathon']",2
1135.0,2270,"['10000m', 'Marathon']",2
1135.0,2270,"['5000m', '10000m']",2
1134.5,2269,"['5000m', '10000m']",2
1134.5,2269,"['5000m', '1500m']",2
1134.0,2268,"['3000m SC', '1500m']",2
1134.0,2268,"['5000m', '10000m']",2
1133.5,2267,"['5000m', '1500m']",2
1133.5,2267,"['HM', 'Marathon']",2
1133.5,2267,"['3000m SC', '1500m']",2
1133.0,2266,"['5000m', '10000m']",2
1132.5,2265,"['5000m', '10000m']",2
1132.5,2265,"['HM', '3000m SC']",2
1132.0,2264,"['10000m', 'Marathon']",2
1132.0,2264,"['10000m', 'Marathon']",2
1131.0,2262,"['5000m', '10000m']",2
1131.0,2262,"['5000m', '10000m']",2
1131.0,2262,"['5000m', '10000m']",2
1130.5,2261,"['5000m', '1500m']",2
1130.5,2261,"['5000m', '1500m']",2
1130.5,2261,"['10000m', 'Marathon']",2
1130.0,2260,"['HM', 'Marathon']",2
1130.0,2260,"['5000m', '10000m']",2
1129.6666666666667,3389,"['5000m', '10000m', 'HM']",3
1129.0,2258,"['HM', 'Marathon']",2
1129.0,3387,"['10000m', 'HM', 'Marathon']",3
1129.0,2258,"['5000m', '10000m']",2
1128.6666666666667,3386,"['10000m', 'HM', 'Marathon']",3
1128.5,4514,"['5000m', '10000m', 'HM', 'Marathon']",4
1128.5,2257,"['5000m', '10000m']",2
1128.0,2256,"['HM', 'Marathon']",2
1128.0,2256,"['3000m SC', '1500m']",2
1127.5,2255,"['HM', 'Marathon']",2
1127.5,2255,"['HM', 'Marathon']",2
1127.5,2255,"['3000m SC', '1500m']",2
1127.0,2254,"['5000m', '10000m']",2
1126.3333333333333,3379,"['3000m SC', '5000m', '1500m']",3
1126.0,2252,"['5000m', '10000m']",2
1126.0,2252,"['5000m', '10000m']",2
1125.5,2251,"['5000m', '1500m']",2
1125.25,4501,"['5000m', '10000m', 'HM', 'Marathon']",4
1125.0,2250,"['3000m SC', '1500m']",2
1125.0,2250,"['3000m SC', '1500m']",2
1124.5,2249,"['5000m', '1500m']",2
1124.5,2249,"['5000m', 'HM']",2
1124.5,2249,"['5000m', '10000m']",2
1124.5,2249,"['10000m', 'HM']",2
1124.5,2249,"['5000m', '10000m']",2
1124.0,2248,"['3000m SC', '1500m']",2
1123.6666666666667,3371,"['5000m', '10000m', 'HM']",3
1123.6666666666667,3371,"['5000m', '10000m', 'HM']",3
1123.5,2247,"['5000m', '10000m']",2
1123.5,2247,"['10000m', 'HM']",2
1123.5,2247,"['5000m', '10000m']",2
1123.3333333333333,3370,"['5000m', '10000m', '1500m']",3
1123.3333333333333,3370,"['3000m SC', '5000m', '1500m']",3
1123.0,2246,"['5000m', '10000m']",2
1123.0,2246,"['HM', 'Marathon']",2
1122.5,2245,"['10000m', 'HM']",2
1122.3333333333333,3367,"['5000m', '10000m', '1500m']",3
1122.0,2244,['Marathon'],2
1122.0,2244,"['5000m', '1500m']",2
1121.0,2242,"['5000m', '10000m']",2
1121.0,2242,"['5000m', '1500m']",2
1121.0,2242,"['3000m SC', '1500m']",2
1121.0,2242,"['HM', 'Marathon']",2
1120.5,2241,"['HM', 'Marathon']",2
1120.0,2240,"['5000m', '10000m']",2
1119.5,2239,"['5000m', '1500m']",2
1119.0,2238,"['10000m', 'HM']",2
1118.6666666666667,3356,"['3000m SC', '1500m']",3
1118.0,2236,"['3000m SC', '1500m']",2
1117.25,4469,"['HM', '5000m', '10000m', '3000m SC']",4
1117.0,2234,"['10000m', 'HM']",2
1116.5,2233,"['HM', 'Marathon']",2
1116.5,2233,"['HM', 'Marathon']",2
1116.5,2233,"['HM', 'Marathon']",2
1116.0,2232,"['HM', 'Marathon']",2
1116.0,2232,"['HM', 'Marathon']",2
1115.5,2231,"['5000m', '1500m']",2
1115.5,2231,"['10000m', 'Marathon']",2
1115.0,3345,"['5000m', '10000m', '1500m']",3
1115.0,2230,"['10000m', 'HM']",2
1114.5,2229,"['3000m SC', '1500m']",2
1114.5,2229,"['5000m', '10000m']",2
1113.5,2227,"['5000m', '10000m']",2
1113.0,2226,"['5000m', '10000m']",2
1112.5,2225,"['5000m', '1500m']",2
1112.0,2224,"['10000m', 'HM']",2
1112.0,2224,"['10000m', 'Marathon']",2
1112.0,2224,"['10000m', 'HM']",2
1112.0,2224,"['10000m', 'HM']",2
1111.5,2223,"['5000m', '1500m']",2
1111.0,2222,"['5000m', '1500m']",2
1111.0,2222,"['5000m', '3000m SC']",2
1110.0,2220,"['5000m', '10000m']",2
1109.0,2218,"['10000m', 'HM']",2
1108.5,2217,"['5000m', '10000m']",2
1108.5,2217,"['5000m', '10000m']",2
1108.5,2217,"['5000m', '10000m']",2
1108.0,2216,"['5000m', '10000m']",2
1106.0,2212,"['10000m', 'HM']",2
1106.0,2212,"['5000m', '1500m']",2
1105.0,2210,"['10000m', 'HM']",2
1105.0,2210,"['10000m', 'Marathon']",2
1104.5,2209,"['10000m', 'HM']",2
1103.5,2207,"['10000m', '1500m']",2
1102.5,2205,"['5000m', '10000m']",2
1100.6666666666667,3302,"['5000m', '10000m', '1500m']",3
1100.5,2201,"['5000m', '1500m']",2
1100.5,2201,"['10000m', 'HM']",2
1100.5,2201,"['10000m', 'HM']",2
1100.0,2200,"['10000m', 'HM']",2
1097.5,2195,"['5000m', '10000m']",2
1095.5,2191,"['10000m', 'Marathon']",2
1094.5,2189,"['5000m', '10000m']",2
